,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
56,49,Bahrain,"11,288",+495,18 ,+1,"6,673","4,597",12,"6,657",11,"314,823","185,669","1,695,617 ",Asia
57,50,Kazakhstan,"10,858",+476,38 ,,"5,220","5,600",62,579,2,"812,881","43,338","18,756,949 ",Asia
58,51,Oman,"10,423",,44 ,+2,"2,396","7,983",31,"2,046",9,"72,000","14,134","5,094,240 ",Asia
59,52,Nigeria,"9,855",,273 ,,"2,856","6,726",7,48,1,"60,825",296,"205,654,182 ",Africa
60,53,Bolivia,"9,592",+861,310 ,+10,889,"8,393",3,823,27,"28,239","2,422","11,658,870 ",South America
61,54,Armenia,"9,282",+355,131  ,+4,"3,386","5,765",10,"3,133",44,"58,065","19,598","2,962,785 ",Asia
62,55,Algeria,"9,267",,646 ,,"5,549","3,072",34,212,15,,,"43,778,769 ",Africa
63,56,Czechia,"9,233",+3,319 ,,"6,546","2,368",15,862,30,"439,744","41,069","10,707,339 ",Europe
64,57,Norway,"8,437",,236 ,,"7,727",474,8,"1,557",44,"245,352","45,288","5,417,605 ",Europe
65,58,Moldova,"8,098",,294 ,+3,"4,581","3,223",256,"2,007",73,"40,565","10,054","4,034,718 ",Europe
66,59,Ghana,"7,881",+113,36 ,+1,"2,841","5,004",5,254,1,"214,956","6,931","31,012,732 ",Africa
67,60,Malaysia,"7,819",+57,115 ,,"6,353","1,351",9,242,4,"546,368","16,900","32,329,329 ",Asia
68,61,Morocco,"7,783",+3,204 ,,"5,412","2,167",18,211,6,"205,588","5,576","36,872,098 ",Africa
69,62,Australia,"7,195",+10,103 ,,"6,614",478,4,282,4,"1,454,121","57,083","25,473,913 ",Australia/Oceania
70,63,Finland,"6,859",+33,320 ,+4,"5,500","1,039",10,"1,238",58,"184,408","33,287","5,540,010 ",Europe
71,64,Iraq,"6,179",,195 ,,"3,110","2,874",36,154,5,"211,485","5,269","40,137,925 ",Asia
72,65,Cameroon,"5,904",,191 ,,"3,568","2,145",28,223,7,,,"26,483,044 ",Africa
73,66,Azerbaijan,"5,246",,61 ,,"3,327","1,858",42,518,6,"294,264","29,045","10,131,281 ",Asia
74,67,Honduras,"5,094",+208,201 ,+2,536,"4,357",13,515,20,"14,790","1,495","9,890,414 ",North America
75,68,Sudan,"4,800",,262 ,,"1,272","3,266",,110,6,401,9,"43,752,816 ",Africa
76,69,Guatemala,"4,739",+132,102 ,+12,706,"3,931",5,265,6,"31,427","1,757","17,885,239 ",North America
77,70,Luxembourg,"4,016",,110 ,,"3,815",91,4,"6,425",176,"74,366","118,975","625,058 ",Europe
78,71,Hungary,"3,876",+9,526 ,+2,"2,147","1,203",25,401,54,"185,980","19,248","9,662,323 ",Europe
79,72,Tajikistan,"3,807",,47 ,,"1,865","1,895",,400,5,,,"9,517,571 ",Asia
80,73,Guinea,"3,706",,23 ,,"2,030","1,653",24,283,2,"14,407","1,100","13,098,481 ",Africa
81,74,Uzbekistan,"3,554",+8,14 ,,"2,783",757,10,106,0.4,"460,000","13,762","33,425,870 ",Asia
82,75,Senegal,"3,535",,42 ,,"1,761","1,732",14,212,3,"40,735","2,439","16,701,616 ",Africa
83,76,Djibouti,"3,194",,22 ,,"1,286","1,886",,"3,237",22,"26,366","26,721","986,716 ",Africa
84,77,Thailand,"3,081",+4,57 ,,"2,963",61,1,44,0.8,"375,453","5,380","69,785,445 ",Asia
85,78,DRC,"3,070",+104,72 ,+3,448,"2,550",,34,0.8,,,"89,294,020 ",Africa
86,79,Greece,"2,915",,175 ,,"1,374","1,366",14,280,17,"178,316","17,101","10,427,085 ",Europe
87,80,Ivory Coast,"2,799",,33 ,,"1,385","1,381",,106,1,"26,905","1,022","26,316,224 ",Africa
88,81,Gabon,"2,655",,17 ,,722,"1,916",15,"1,196",8,"13,833","6,229","2,220,779 ",Africa
89,82,El Salvador,"2,517",+122,46 ,+2,"1,040","1,431",53,388,7,"89,358","13,782","6,483,446 ",North America
90,83,Bulgaria,"2,513",+14,140 ,+1,"1,074","1,299",22,361,20,"81,348","11,701","6,952,517 ",Europe
91,84,Bosnia and Herzegovina,"2,494",,153 ,,"1,831",510,4,760,47,"64,623","19,688","3,282,421 ",Europe
92,85,Croatia,"2,246",,103 ,,"2,063",80,4,547,25,"66,144","16,104","4,107,255 ",Europe
93,86,North Macedonia,"2,164",,131 ,,"1,535",498,21,"1,039",63,"28,804","13,826","2,083,381 ",Europe
94,87,Cuba,"2,025",,83 ,,"1,795",147,3,179,7,"103,123","9,104","11,327,179 ",North America
95,88,Somalia,"1,916",,73 ,,327,"1,516",2,121,5,,,"15,850,314 ",Africa
96,89,Kenya,"1,888",,63 ,,464,"1,361",7,35,1,"76,962","1,434","53,660,593 ",Africa
97,90,Estonia,"1,869",+4,68 ,+1,"1,624",177,,"1,409",51,"83,440","62,904","1,326,462 ",Europe
98,91,Haiti,"1,865",+281,41 ,+6,24,"1,800",,164,4,"4,577",402,"11,390,283 ",North America
99,92,Iceland,"1,806",,10 ,,"1,794",2,,"5,295",29,"61,025","178,930","341,055 ",Europe
100,93,Kyrgyzstan,"1,748",+26,16 ,,"1,170",562,4,268,2,"111,859","17,171","6,514,462 ",Asia
101,94,Mayotte,"1,699",,21 ,,"1,385",293,9,"6,242",77,"5,200","19,104","272,192 ",Africa
102,95,Lithuania,"1,675",+5,70 ,,"1,236",369,17,615,26,"302,859","111,136","2,725,125 ",Europe
103,96,Maldives,"1,672",,5 ,,406,"1,261",9,"3,098",9,"11,775","21,819","539,677 ",Asia
104,97,Sri Lanka,"1,620",+7,10 ,,801,809,1,76,0.5,"63,935","2,987","21,405,720 ",Asia
105,98,Slovakia,"1,521",,28 ,,"1,366",127,,279,5,"172,601","31,615","5,459,425 ",Europe
106,99,New Zealand,"1,504",,22 ,,"1,481",1,,301,4,"280,983","56,173","5,002,100 ",Australia/Oceania
107,100,Slovenia,"1,473",,108 ,,"1,358",7,2,709,52,"79,897","38,432","2,078,915 ",Europe
108,101,Venezuela,"1,459",,14 ,,302,"1,143",3,51,0.5,"970,394","34,118","28,442,404 ",South America
109,102,Nepal,"1,401",,6 ,,219,"1,176",,48,0.2,"173,784","5,974","29,088,995 ",Asia
110,103,Equatorial Guinea,"1,306",,12 ,,200,"1,094",,934,9,"8,268","5,913","1,398,393 ",Africa
111,104,Guinea-Bissau,"1,256",,8 ,,42,"1,206",,640,4,"1,500",764,"1,963,612 ",Africa
112,105,Mali,"1,250",,76 ,,696,478,,62,4,"3,483",172,"20,194,089 ",Africa
113,106,Lebanon,"1,191",,26 ,,708,457,4,174,4,"82,076","12,021","6,827,871 ",Asia
114,107,Albania,"1,136",+14,33 ,,872,231,4,395,11,"14,723","5,116","2,878,052 ",Europe
115,108,Hong Kong,"1,085",+2,4 ,,"1,037",44,2,145,0.5,"202,930","27,087","7,491,755 ",Asia
116,109,Tunisia,"1,077",+1,48 ,,960,69,2,91,4,"51,881","4,394","11,807,839 ",Africa
117,110,Latvia,"1,066",+1,24 ,,745,297,3,565,13,"109,071","57,777","1,887,785 ",Europe
118,111,Ethiopia,"1,063",,8 ,,208,847,5,9,0.07,"106,615",930,"114,693,065 ",Africa
119,112,Zambia,"1,057",,7 ,,779,271,1,58,0.4,"24,275","1,324","18,334,102 ",Africa
120,113,Costa Rica,"1,047",,10 ,,658,379,4,206,2,"26,073","5,122","5,090,096 ",North America
121,114,South Sudan,994,,10 ,,6,978,,89,0.9,"3,356",300,"11,182,197 ",Africa
122,115,Paraguay,964,,11 ,,466,487,2,135,2,"29,153","4,092","7,124,815 ",South America
123,116,CAR,962,,1 ,,23,938,,199,0.2,"15,021","3,115","4,822,133 ",Africa
124,117,Niger,956,,64 ,,818,74,,40,3,"6,033",250,"24,117,639 ",Africa
125,118,Cyprus,944,,17 ,,790,137,4,782,14,"115,694","95,884","1,206,608 ",Asia
126,119,Sierra Leone,852,,46 ,,415,391,,107,6,,,"7,961,973 ",Africa
127,120,Burkina Faso,847,,53 ,,720,74,,41,3,,,"20,847,963 ",Africa
128,121,Uruguay,821,,22 ,,682,117,5,236,6,"43,479","12,520","3,472,725 ",South America
129,122,Georgia,783,+26,12 ,,605,166,6,196,3,"53,618","13,439","3,989,785 ",Asia
130,123,Andorra,764,,51 ,,692,21,4,"9,889",660,"3,750","48,541","77,255 ",Europe
131,124,Chad,759,,65 ,,470,224,,46,4,,,"16,380,040 ",Africa
132,125,Nicaragua,759,,35 ,,370,354,,115,5,,,"6,617,623 ",North America
133,126,Madagascar,758,,6 ,,165,587,8,27,0.2,"10,249",371,"27,623,015 ",Africa
134,127,Jordan,734,,9 ,,507,218,5,72,0.9,"183,641","18,014","10,194,333 ",Asia
135,128,Diamond Princess,712,,13 ,,651,48,4,,,,,0 ,
136,129,San Marino,671,,42 ,,357,272,1,"19,779","1,238","4,466","131,643","33,925 ",Europe
137,130,Malta,618,,9 ,,525,84,1,"1,400",20,"68,038","154,126","441,445 ",Europe
138,131,Jamaica,581,+6,9 ,,290,282,2,196,3,"12,389","4,185","2,960,082 ",North America
139,132,Congo,571,,19 ,,161,391,,104,3,,,"5,505,196 ",Africa
140,133,Channel Islands,560,,45 ,,525,-10,,"3,224",259,"10,255","59,030","173,724 ",Europe
141,134,Tanzania,509,,21 ,,183,305,7,9,0.4,,,"59,569,007 ",Africa
142,135,Mauritania,483,,20 ,,21,442,,104,4,"7,654","1,650","4,637,943 ",Africa
143,136,Sao Tome and Principe,479,,12 ,,68,399,,"2,189",55,175,800,"218,786 ",Africa
144,137,French Guiana,477,,1 ,,185,291,2,"1,601",3,,,"297,942 ",South America
145,138,Réunion,471,,1 ,,411,59,1,526,1,"17,200","19,223","894,766 ",Africa
146,139,Palestine,448,+1,3 ,,368,77,,88,0.6,"44,876","8,816","5,090,250 ",Asia
147,140,Taiwan,442,,7 ,,423,12,,19,0.3,"72,082","3,027","23,813,214 ",Asia
148,141,Togo,433,,13 ,,206,214,,52,2,"19,705","2,385","8,260,436 ",Africa
149,142,Cabo Verde,421,,4 ,,167,250,,758,7,"1,307","2,353","555,459 ",Africa
150,143,Uganda,413,, ,,72,341,,9,,"94,990","2,083","45,598,170 ",Africa
151,144,Rwanda,359,,1 ,,250,108,,28,0.08,"66,976","5,183","12,921,714 ",Africa
152,145,Isle of Man,336,,24 ,,309,3,,"3,953",282,"4,805","56,533","84,995 ",Europe
153,146,Mauritius,335,,10 ,,322,3,,263,8,"116,937","91,961","1,271,594 ",Africa
154,147,Vietnam,328,, ,,279,49,1,3,,"275,000","2,827","97,262,917 ",Asia
155,148,Montenegro,324,,9 ,,315,0,,516,14,"10,167","16,188","628,060 ",Europe
156,149,Yemen,310,,77 ,,13,220,,10,3,120,4,"29,764,568 ",Asia
157,150,Eswatini,283,,2 ,,168,113,,244,2,"4,994","4,308","1,159,118 ",Africa
158,151,Liberia,280,,27 ,,148,105,,55,5,,,"5,046,473 ",Africa
159,152,Malawi,279,,4 ,,42,233,1,15,0.2,"3,372",177,"19,082,694 ",Africa
160,153,Mozambique,244,,2 ,,90,152,,8,0.06,"10,261",329,"31,170,640 ",Africa
161,154,Myanmar,224,,6 ,,130,88,,4,0.1,"24,710",454,"54,378,732 ",Asia
162,155,Benin,224,,3 ,,136,85,,19,0.2,"30,817","2,548","12,092,780 ",Africa
163,156,Martinique,200,,14 ,,98,88,,533,37,,,"375,289 ",North America
164,157,Faeroe Islands,187,, ,,187,0,,"3,828",,"9,636","197,269","48,847 ",Europe
165,158,Mongolia,179,, ,,44,135,19,55,,"13,672","4,177","3,273,528 ",Asia
166,159,Zimbabwe,174,,4 ,,29,141,,12,0.3,"46,613","3,140","14,843,588 ",Africa
167,160,Gibraltar,169,, ,,149,20,,"5,016",,"7,553","224,178","33,692 ",Europe
168,161,Guadeloupe,162,,14 ,,138,10,1,405,35,"4,137","10,339","400,118 ",North America
169,162,Guyana,152,,12 ,,67,73,2,193,15,"1,604","2,040","786,232 ",South America
170,163,Brunei ,141,,2 ,,138,1,1,323,5,"19,386","44,350","437,116 ",Asia
171,164,Cayman Islands,141,,1 ,,68,72,,"2,148",15,"11,139","169,662","65,654 ",North America
172,165,Bermuda,140,,9 ,,92,39,2,"2,247",144,"7,171","115,112","62,296 ",North America
173,166,Libya,130,,5 ,,50,75,,19,0.7,"5,591",815,"6,862,990 ",Africa
174,167,Cambodia,125,, ,,123,2,1,7,,"20,406","1,222","16,698,376 ",Asia
175,168,Syria,122,,4 ,,43,75,,7,0.2,,,"17,460,385 ",Asia
176,169,Trinidad and Tobago,117,+1,8 ,,108,1,,84,6,"3,138","2,243","1,399,110 ",North America
177,170,Comoros,106,,2 ,,26,78,,122,2,,,"867,877 ",Africa
178,171,Bahamas,102,,11 ,,48,43,1,260,28,"2,091","5,322","392,918 ",North America
179,172,Aruba,101,,3 ,,98,0,,946,28,"2,128","19,939","106,728 ",North America
180,173,Monaco,99,,4 ,,90,5,1,"2,524",102,,,"39,218 ",Europe
181,174,Barbados,92,,7 ,,76,9,1,320,24,"5,390","18,758","287,346 ",North America
182,175,Angola,84,,4 ,,18,62,1,3,0.1,"10,000",305,"32,765,461 ",Africa
183,176,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,610","38,119 ",Europe
184,177,Sint Maarten,77,,15 ,,60,2,1,"1,798",350,461,"10,763","42,833 ",North America
185,178,Burundi,63,,1 ,,33,29,,5,0.08,284,24,"11,856,133 ",Africa
186,179,French Polynesia,60,, ,,60,0,,214,,"4,006","14,268","280,770 ",Australia/Oceania
187,180,Macao,45,, ,,45,0,,69,,,,"648,548 ",Asia
188,181,Bhutan,43,+10, ,,6,37,,56,,"17,038","22,102","770,865 ",Asia
189,182,Saint Martin,41,,3 ,,33,5,1,"1,062",78,614,"15,904","38,606 ",North America
190,183,Eritrea,39,, ,,39,0,,11,,,,"3,542,053 ",Africa
191,184,Botswana,35,,1 ,,20,14,,15,0.4,"17,991","7,665","2,347,237 ",Africa
192,185,St. Vincent Grenadines,26,, ,,15,11,,234,,593,"5,347","110,911 ",North America
193,186,Antigua and Barbuda,25,,3 ,,19,3,1,255,31,183,"1,870","97,859 ",North America
194,187,Gambia,25,,1 ,,20,4,,10,0.4,"1,756",729,"2,410,091 ",Africa
195,188,Timor-Leste,24,, ,,24,0,,18,,"1,290",980,"1,316,139 ",Asia
196,189,Grenada,23,, ,,18,5,4,204,,"3,007","26,734","112,479 ",North America
197,190,Namibia,23,, ,,14,9,,9,,"3,412","1,345","2,536,704 ",Africa
198,191,Curaçao,19,,1 ,,14,4,,116,6,572,"3,487","164,037 ",North America
199,192,Laos,19,, ,,16,3,,3,,"6,928",953,"7,266,127 ",Asia
200,193,New Caledonia,19,, ,,18,1,,67,,"6,416","22,492","285,260 ",Australia/Oceania
201,194,Belize,18,,2 ,,16,0,,45,5,"1,572","3,960","396,969 ",North America
202,195,Fiji,18,, ,,15,3,,20,,"2,431","2,714","895,890 ",Australia/Oceania
203,196,Saint Lucia,18,, ,,18,0,,98,,"1,012","5,513","183,556 ",North America
204,197,Dominica,16,, ,,16,0,,222,,433,"6,016","71,971 ",North America
205,198,Saint Kitts and Nevis,15,, ,,15,0,,282,,394,"7,411","53,167 ",North America
206,199,Suriname,14,+2,1 ,,9,4,,24,2,782,"1,334","586,178 ",South America
207,200,Falkland Islands,13,, ,,13,0,,"3,746",,503,"144,957","3,470 ",South America
208,201,Greenland,13,, ,,11,2,,229,,"2,030","35,763","56,762 ",North America
209,202,Turks and Caicos,12,,1 ,,11,0,,310,26,129,"3,336","38,670 ",North America
210,203,Vatican City,12,, ,,2,10,,"14,981",,,,801 ,Europe
211,204,Montserrat,11,,1 ,,10,0,,"2,204",200,61,"12,220","4,992 ",North America
212,205,Seychelles,11,, ,,11,0,,112,,,,"98,295 ",Africa
213,206,MS Zaandam,9,,2 ,,,7,,,,,,0 ,
214,207,Western Sahara,9,,1 ,,6,2,,15,2,,,"595,945 ",Africa
215,208,British Virgin Islands,8,,1 ,,7,0,,265,33,167,"5,527","30,214 ",North America
216,209,Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",269,"8,931,472 ",Australia/Oceania
217,210,Caribbean Netherlands,6,, ,,6,0,,229,,424,"16,182","26,202 ",North America
218,211,St. Barth,6,, ,,6,0,,608,,137,"13,875","9,874 ",North America
219,212,Anguilla,3,, ,,3,0,,200,,41,"2,735","14,991 ",North America
220,213,Lesotho,2,, ,,1,1,,0.9,,283,132,"2,140,792 ",Africa
221,214,Saint Pierre Miquelon,1,, ,,1,0,,173,,,,"5,796 ",North America
222,215,China,"83,001",+2,"4,634 ",,"78,304",63,3,58,3,,,"1,439,323,776 ",Asia
223,,Total:,"2,044,545","+3,712","123,858",+386,"670,607","1,250,080","19,435",,,,,,North America
224,,Total:,"847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
225,,Total:,"2,014,479","+10,253","173,461",+181,"983,945","857,073","8,793",,,,,,Europe
226,,Total:,"1,117,573","+10,052","30,392",+185,"675,405","411,776","13,578",,,,,,Asia
227,,Total:,"143,990",+221,"4,096",+4,"61,329","78,565",358,,,,,,Africa
228,,Total:,"8,804",+10,125,,"8,196",483,4,,,,,,Australia/Oceania
229,,Total:,721,,15,,651,55,4,,,,,,
230,,Total:,"6,177,120","+26,637","371,287",+781,"2,746,094","3,059,739","53,453",792.5,47.6,,,,All
