,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
34,Thailand,1771,+120,12.0,+2,505.0,1254,23.0,25.0,0.2,Jan 12
35,Saudi Arabia,1720,+157,16.0,+6,264.0,1440,31.0,49.0,0.5,Mar 01
36,Indonesia,1677,+149,157.0,+21,103.0,1417,,6.0,0.6,Mar 01
37,Finland,1446,+28,17.0,,10.0,1419,62.0,261.0,3.0,Jan 28
38,Greece,1415,+101,50.0,+1,52.0,1313,90.0,136.0,5.0,Feb 25
39,South Africa,1380,+27,5.0,,50.0,1325,7.0,23.0,0.08,Mar 04
40,Dominican Republic,1284,+175,57.0,+6,9.0,1218,,118.0,5.0,Feb 29
41,Iceland,1220,+85,2.0,,225.0,993,12.0,3575.0,6.0,Feb 27
42,Mexico,1215,+121,29.0,+1,35.0,1151,1.0,9.0,0.2,Feb 27
43,Panama,1181,,30.0,,9.0,1142,50.0,274.0,7.0,Mar 09
44,Peru,1065,,30.0,,394.0,641,49.0,32.0,0.9,Mar 05
45,Serbia,1060,+160,28.0,+5,42.0,990,62.0,121.0,3.0,Mar 05
46,Argentina,1054,,28.0,+1,248.0,778,,23.0,0.6,Mar 02
47,Singapore,1000,+74,3.0,,245.0,752,24.0,171.0,0.5,Jan 22
48,Croatia,963,+96,6.0,,73.0,884,34.0,235.0,1.0,Feb 24
49,Colombia,906,,16.0,,31.0,859,35.0,18.0,0.3,Mar 05
50,Algeria,847,+131,58.0,+14,61.0,728,,19.0,1.0,Feb 24
51,Slovenia,841,+39,15.0,,10.0,816,31.0,405.0,7.0,Mar 03
52,Qatar,781,,2.0,,62.0,717,6.0,271.0,0.7,Feb 28
53,Estonia,779,+34,5.0,+1,33.0,741,15.0,587.0,4.0,Feb 26
54,Hong Kong,765,+50,4.0,,147.0,614,5.0,102.0,0.5,Jan 22
55,Diamond Princess,712,,11.0,,603.0,98,15.0,,,Feb 04
56,Egypt,710,,46.0,,157.0,507,,7.0,0.4,Feb 13
57,New Zealand,708,+61,1.0,,83.0,624,2.0,147.0,0.2,Feb 27
58,Iraq,694,,50.0,,170.0,474,,17.0,1.0,Feb 21
59,Ukraine,669,+24,17.0,,10.0,642,,15.0,0.4,Mar 02
60,UAE,664,,6.0,,61.0,597,2.0,67.0,0.6,Jan 28
61,Morocco,642,+25,37.0,+1,26.0,579,1.0,17.0,1.0,Mar 01
62,Lithuania,581,+44,8.0,,7.0,566,11.0,213.0,3.0,Feb 27
63,Armenia,571,+39,4.0,+1,31.0,536,30.0,193.0,1.0,Feb 29
64,Bahrain,569,+2,4.0,,337.0,228,3.0,334.0,2.0,Feb 23
65,Hungary,525,+33,20.0,+4,40.0,465,17.0,54.0,2.0,Mar 03
66,Lebanon,479,+16,14.0,+2,43.0,422,5.0,70.0,2.0,Feb 20
67,Bosnia and Herzegovina,457,+37,13.0,,19.0,425,1.0,139.0,4.0,Mar 04
68,Latvia,446,+48,,,1.0,445,3.0,236.0,,Mar 01
69,Tunisia,423,+29,12.0,+2,5.0,406,10.0,36.0,1.0,Mar 01
70,Moldova,423,+70,5.0,+1,23.0,395,44.0,105.0,1.0,Mar 06
71,Bulgaria,422,+23,10.0,+2,20.0,392,18.0,61.0,1.0,Mar 06
72,Slovakia,400,+37,1.0,+1,3.0,396,1.0,73.0,0.2,Mar 05
73,Andorra,390,+14,14.0,+2,10.0,366,12.0,5048.0,181.0,Mar 01
74,Kazakhstan,380,+37,3.0,+1,26.0,351,6.0,20.0,0.2,Mar 12
75,Azerbaijan,359,+61,5.0,,26.0,328,7.0,35.0,0.5,Feb 27
76,North Macedonia,354,+25,11.0,+2,17.0,326,4.0,170.0,5.0,Feb 25
77,Costa Rica,347,,2.0,,4.0,341,8.0,68.0,0.4,Mar 04
78,Uruguay,338,,2.0,+1,41.0,295,12.0,97.0,0.6,Mar 12
79,Taiwan,329,+7,5.0,,45.0,279,,14.0,0.2,Jan 20
80,Cyprus,320,+58,9.0,+1,28.0,283,11.0,265.0,7.0,Mar 08
81,Kuwait,317,+28,,,80.0,237,13.0,74.0,,Feb 23
82,Burkina Faso,282,+21,16.0,+2,46.0,220,,13.0,0.8,Mar 08
83,Réunion,281,+34,,,40.0,241,3.0,314.0,,Mar 10
84,Jordan,278,+4,5.0,,36.0,237,5.0,27.0,0.5,Mar 01
85,Albania,259,+16,15.0,,67.0,177,7.0,90.0,5.0,Mar 07
86,San Marino,236,,26.0,,13.0,197,16.0,6955.0,766.0,Feb 26
87,Cameroon,233,+40,6.0,,10.0,217,,9.0,0.2,Mar 05
88,Vietnam,218,+6,,,63.0,155,3.0,2.0,,Jan 22
89,Cuba,212,+26,6.0,,12.0,194,3.0,19.0,0.5,Mar 10
90,Oman,210,+18,1.0,,34.0,175,3.0,41.0,0.2,Feb 23
91,Afghanistan,196,+22,4.0,,5.0,187,,5.0,0.1,Feb 23
92,Ghana,195,+34,5.0,,31.0,159,1.0,6.0,0.2,Mar 11
93,Senegal,190,+15,1.0,+1,45.0,144,,11.0,0.06,Mar 01
94,Malta,188,+19,,,2.0,186,2.0,426.0,,Mar 06
95,Uzbekistan,181,+9,2.0,,12.0,167,8.0,5.0,0.06,Mar 14
96,Ivory Coast,179,,1.0,,7.0,171,,7.0,0.04,Mar 10
97,Faeroe Islands,173,+4,,,75.0,98,1.0,3541.0,,Mar 03
98,Honduras,172,+31,10.0,+3,3.0,159,4.0,17.0,1.0,Mar 10
99,Channel Islands,172,+31,3.0,,,169,,989.0,17.0,Mar 08
100,Belarus,163,+11,2.0,+1,53.0,108,2.0,17.0,0.2,Feb 27
101,Mauritius,158,+15,6.0,+1,,152,1.0,124.0,5.0,Mar 17
102,Nigeria,151,+16,2.0,,9.0,140,,0.7,0.01,Feb 27
103,Sri Lanka,146,+3,2.0,,21.0,123,5.0,7.0,0.09,Jan 26
104,Venezuela,143,+8,3.0,,41.0,99,6.0,5.0,0.1,Mar 12
105,Palestine,134,+15,1.0,,18.0,115,,26.0,0.2,Mar 04
106,Brunei,131,+2,1.0,,52.0,78,3.0,299.0,2.0,Mar 08
107,Martinique,128,,3.0,,27.0,98,15.0,341.0,8.0,Mar 04
108,Montenegro,123,+14,2.0,,,121,4.0,196.0,3.0,Mar 16
109,Georgia,117,+7,,,23.0,94,6.0,29.0,,Feb 25
110,Bolivia,115,+8,7.0,+1,1.0,107,3.0,10.0,0.6,Mar 09
111,Guadeloupe,114,,4.0,,22.0,88,14.0,285.0,10.0,Mar 12
112,Kyrgyzstan,111,+4,,,3.0,108,3.0,17.0,,Mar 17
113,DRC,109,+11,9.0,+1,3.0,97,,1.0,0.1,Mar 09
114,Cambodia,109,,,,25.0,84,1.0,7.0,,Jan 26
115,Mayotte,94,,1.0,,10.0,83,3.0,345.0,4.0,Mar 13
116,Trinidad and Tobago,89,+2,5.0,+2,1.0,83,,64.0,4.0,Mar 11
117,Kenya,81,+22,1.0,,3.0,77,2.0,2.0,0.02,Mar 12
118,Gibraltar,81,+12,,,34.0,47,,2404.0,,Mar 02
119,Rwanda,75,,,,,75,,6.0,,Mar 13
120,Paraguay,69,+4,3.0,,1.0,65,4.0,10.0,0.4,Mar 06
121,Liechtenstein,68,,,,,68,,1783.0,,Mar 02
122,Isle of Man,65,+5,1.0,+1,,64,,764.0,12.0,Mar 18
123,Madagascar,57,,,,,57,6.0,2.0,,Mar 19
124,Monaco,55,+3,1.0,,2.0,52,,1402.0,25.0,Feb 27
125,Aruba,55,,,,1.0,54,,515.0,,Mar 12
126,Bangladesh,54,+3,6.0,+1,25.0,23,1.0,0.3,0.04,Mar 07
127,French Guiana,51,,,,15.0,36,,171.0,,Mar 06
128,Uganda,44,,,,,44,,1.0,,Mar 20
129,Macao,41,,,,10.0,31,,63.0,,Jan 21
130,Guatemala,39,+1,1.0,,12.0,26,1.0,2.0,0.06,Mar 12
131,Jamaica,38,,2.0,,2.0,34,,13.0,0.7,Mar 09
132,French Polynesia,37,,,,,37,1.0,132.0,,Mar 10
133,Togo,36,+2,2.0,+1,10.0,24,,4.0,0.2,Mar 05
134,Zambia,36,,,,,36,,2.0,,Mar 17
135,Niger,34,,3.0,,,31,,1.0,0.1,Mar 18
136,Barbados,34,,,,,34,,118.0,,Mar 16
137,Djibouti,33,+3,,,,33,,33.0,,Mar 17
138,El Salvador,32,,1.0,,,31,4.0,5.0,0.2,Mar 18
139,Bermuda,32,,,,10.0,22,,514.0,,Mar 17
140,Mali,31,+3,3.0,+1,,28,,2.0,0.1,Mar 24
141,Guinea,30,+8,,,,30,,2.0,,Mar 12
142,Ethiopia,29,+3,,,2.0,27,2.0,0.3,,Mar 12
143,Tanzania,20,+1,1.0,,1.0,18,,0.3,0.02,Mar 15
144,Congo,19,,,,,19,,3.0,,Mar 14
145,Maldives,19,+1,,,13.0,6,,35.0,,Mar 06
146,Gabon,18,+2,1.0,,,17,,8.0,0.4,Mar 12
147,Sint Maarten,16,+10,1.0,+1,6.0,9,,373.0,23.0,Mar 17
148,Haiti,16,+1,,,1.0,15,,1.0,,Mar 19
149,New Caledonia,16,,,,,16,,56.0,,Mar 17
150,Myanmar,15,,1.0,,,14,,0.3,0.02,Mar 22
151,Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
152,Bahamas,15,+1,,,1.0,14,,38.0,,Mar 14
153,Equatorial Guinea,15,,,,1.0,14,,11.0,,Mar 13
154,Eritrea,15,,,,,15,,4.0,,Mar 20
155,Cayman Islands,14,,1.0,,,13,,213.0,15.0,Mar 12
156,Mongolia,14,+2,,,2.0,12,,4.0,,Mar 09
157,Namibia,14,+3,,,2.0,12,,6.0,,Mar 13
158,Saint Lucia,13,,,,1.0,12,,71.0,,Mar 12
159,Guyana,12,,2.0,,,10,,15.0,3.0,Mar 11
160,Dominica,12,,,,,12,,167.0,,Mar 21
161,Curaçao,11,,1.0,,3.0,7,,67.0,6.0,Mar 12
162,Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
163,Greenland,10,,,,2.0,8,,176.0,,Mar 15
164,Laos,10,+1,,,,10,,1.0,,Mar 23
165,Libya,10,,,,1.0,9,,1.0,,Mar 23
166,Mozambique,10,+2,,,,10,,0.3,,Mar 21
167,Seychelles,10,,,,,10,,102.0,,Mar 13
168,Suriname,10,+1,,,,10,,17.0,,Mar 12
169,Benin,9,,,,1.0,8,,0.7,,Mar 15
170,Grenada,9,,,,,9,,80.0,,Mar 21
171,Eswatini,9,,,,,9,,8.0,,Mar 13
172,Zimbabwe,8,,1.0,,,7,,0.5,0.07,Mar 19
173,Guinea-Bissau,8,,,,,8,,4.0,,Mar 24
174,Saint Kitts and Nevis,8,,,,,8,,150.0,,Mar 24
175,Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19
176,Sudan,7,,2.0,,2.0,3,,0.2,0.05,Mar 12
177,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
178,Chad,7,,,,,7,,0.4,,Mar 18
179,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
180,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
181,Vatican City,6,,,,,6,,7491.0,,Mar 05
182,Liberia,6,+3,,,,6,,1.0,,Mar 15
183,St. Barth,6,,,,1.0,5,,607.0,,Feb 29
184,Turks and Caicos,6,+1,,,,6,,155.0,,Mar 22
185,Nicaragua,5,,1.0,,,4,,0.8,0.2,Mar 18
186,Nepal,5,,,,1.0,4,,0.2,,Jan 23
187,Fiji,5,,,,,5,,6.0,,Mar 18
188,Montserrat,5,,,,,5,,1002.0,,Mar 17
189,Somalia,5,,,,1.0,4,,0.3,,Mar 15
190,Botswana,4,,1.0,,,3,,2.0,0.4,Mar 29
191,Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
192,Bhutan,4,,,,,4,,5.0,,Mar 05
193,Belize,3,,,,,3,,8.0,,Mar 22
194,British Virgin Islands,3,,,,,3,,99.0,,Mar 24
195,CAR,3,,,,,3,,0.6,,Mar 14
196,MS Zaandam,2,,,,,2,,,,Mar 26
197,Anguilla,2,,,,,2,,133.0,,Mar 25
198,Burundi,2,,,,,2,,0.2,,Mar 30
199,Caribbean Netherlands,2,+2,,,,2,,76.0,,Mar 31
200,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
201,St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
202,Sierra Leone,1,,,,,1,,0.1,,Mar 30
203,Timor-Leste,1,,,,,1,,0.8,,Mar 20
204,China,81554,+36,3312.0,+7,76238.0,2004,466.0,57.0,2.0,Jan 10
205,Total:,912307,"+53,988",45541.0,"+3,239",191826.0,674940,34857.0,117.0,5.8,
