,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
98,Ivory Coast,190,,1.0,,9.0,180,,7.0,0.04
99,Faeroe Islands,177,+4,,,81.0,96,1.0,3622.0,
100,Nigeria,174,,2.0,,9.0,163,,0.8,0.01
101,Channel Islands,172,,3.0,,,169,,989.0,17.0
102,Mauritius,161,,7.0,+1,,154,1.0,127.0,6.0
103,Palestine,155,+21,1.0,,18.0,136,,30.0,0.2
104,Sri Lanka,150,+4,3.0,,21.0,126,5.0,7.0,0.1
105,Venezuela,144,,3.0,,43.0,98,6.0,5.0,0.1
106,Montenegro,140,+17,2.0,,,138,4.0,223.0,3.0
107,Martinique,135,,3.0,,27.0,105,16.0,360.0,8.0
108,Brunei,133,+2,1.0,,56.0,76,3.0,304.0,2.0
109,Georgia,130,+13,,,26.0,104,6.0,33.0,
110,Guadeloupe,125,,6.0,,24.0,95,14.0,312.0,15.0
111,DRC,123,+14,11.0,+2,3.0,109,,1.0,0.1
112,Bolivia,123,+8,7.0,,1.0,115,3.0,11.0,0.6
113,Mayotte,116,+15,1.0,,10.0,105,3.0,425.0,4.0
114,Kyrgyzstan,116,+5,,,5.0,111,5.0,18.0,
115,Kenya,110,+29,3.0,+2,4.0,103,2.0,2.0,0.06
116,Cambodia,110,+1,,,34.0,76,1.0,7.0,
117,Trinidad and Tobago,90,,5.0,,1.0,84,,64.0,4.0
118,Rwanda,82,,,,,82,,6.0,
119,Gibraltar,81,,,,34.0,47,,2404.0,
120,Paraguay,77,+8,3.0,,2.0,72,4.0,11.0,0.4
121,Isle of Man,75,+7,1.0,,,74,,882.0,12.0
122,Niger,74,,5.0,,,69,,3.0,0.2
123,Liechtenstein,72,,,,,72,,1888.0,
124,Madagascar,59,+2,,,,59,6.0,2.0,
125,Bangladesh,56,+2,6.0,,25.0,25,1.0,0.3,0.04
126,Monaco,55,,1.0,,2.0,52,2.0,1402.0,25.0
127,Aruba,55,,,,1.0,54,,515.0,
128,Guinea,52,+22,,,,52,,4.0,
129,French Guiana,51,,,,15.0,36,,171.0,
130,Guatemala,46,+7,1.0,,12.0,33,1.0,3.0,0.06
131,Barbados,45,,,,,45,,157.0,
132,Jamaica,44,,3.0,,2.0,39,,15.0,1.0
133,Uganda,44,,,,,44,,1.0,
134,El Salvador,41,+8,2.0,,,39,4.0,6.0,0.3
135,Macao,41,,,,10.0,31,,63.0,
136,Djibouti,40,+7,,,,40,,40.0,
137,Zambia,39,+3,1.0,+1,,38,,2.0,0.05
138,French Polynesia,37,,,,,37,1.0,132.0,
139,Togo,36,,2.0,,10.0,24,,4.0,0.2
140,Bermuda,32,,,,10.0,22,,514.0,
141,Mali,31,,3.0,,,28,,2.0,0.1
142,Ethiopia,29,,,,3.0,26,2.0,0.3,
143,Congo,22,,2.0,,2.0,18,,4.0,0.4
144,Cayman Islands,22,,1.0,,,21,,335.0,15.0
145,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
146,Bahamas,21,,1.0,,1.0,19,,53.0,3.0
147,Tanzania,20,,1.0,,2.0,17,,0.3,0.02
148,Guyana,19,,4.0,+1,,15,,24.0,5.0
149,Maldives,19,,,,13.0,6,,35.0,
150,Gabon,18,,1.0,,,17,,8.0,0.4
151,Eritrea,18,+3,,,,18,,5.0,
152,New Caledonia,18,+2,,,1.0,17,,63.0,
153,Myanmar,16,,1.0,,,15,,0.3,0.02
154,Sint Maarten,16,,1.0,,6.0,9,,373.0,23.0
155,Haiti,16,,,,1.0,15,,1.0,
156,Equatorial Guinea,15,,,,1.0,14,,11.0,
157,Mongolia,14,,,,2.0,12,,4.0,
158,Namibia,14,,,,2.0,12,,6.0,
159,Benin,13,,,,1.0,12,,1.0,
160,Saint Lucia,13,,,,1.0,12,,71.0,
161,Dominica,12,,,,,12,,167.0,
162,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
163,Syria,10,,2.0,,,8,,0.6,0.1
164,Greenland,10,,,,2.0,8,,176.0,
165,Grenada,10,+1,,,,10,,89.0,
166,Laos,10,,,,,10,,1.0,
167,Libya,10,,,,,10,,1.0,
168,Mozambique,10,,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102.0,
170,Suriname,10,,,,,10,,17.0,
171,MS Zaandam,9,,2.0,,,7,,,
172,Guinea-Bissau,9,,,,,9,,5.0,
173,Eswatini,9,,,,,9,,8.0,
174,Angola,8,,2.0,,1.0,5,,0.2,0.06
175,Zimbabwe,8,,1.0,,,7,,0.5,0.07
176,Saint Kitts and Nevis,8,,,,,8,,150.0,
177,Sudan,7,,2.0,,2.0,3,,0.2,0.05
178,Antigua and Barbuda,7,,,,,7,,71.0,
179,Chad,7,,,,,7,,0.4,
180,Fiji,7,+2,,,,7,,8.0,
181,Cabo Verde,6,,1.0,,,5,,11.0,2.0
182,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
183,Nepal,6,+1,,,1.0,5,,0.2,
184,Vatican City,6,,,,,6,,7491.0,
185,Liberia,6,,,,,6,,1.0,
186,St. Barth,6,,,,1.0,5,,607.0,
187,Turks and Caicos,6,,,,,6,,155.0,
188,Nicaragua,5,,1.0,,,4,,0.8,0.2
189,Bhutan,5,+1,,,1.0,4,,6.0,
190,Montserrat,5,,,,,5,,1002.0,
191,Somalia,5,,,,1.0,4,,0.3,
192,Botswana,4,,1.0,,,3,,2.0,0.4
193,Gambia,4,,1.0,,2.0,1,,2.0,0.4
194,Belize,3,,,,,3,,8.0,
195,British Virgin Islands,3,,,,,3,,99.0,
196,CAR,3,,,,,3,,0.6,
197,Anguilla,2,,,,,2,,133.0,
198,Burundi,2,,,,,2,,0.2,
199,Caribbean Netherlands,2,,,,,2,,76.0,
200,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
201,Sierra Leone,2,,,,,2,,0.3,
202,Papua New Guinea,1,,,,,1,,0.1,
203,Timor-Leste,1,,,,,1,,0.8,
204,China,81589,+35,3318.0,+6,76408.0,1863,429.0,57.0,2.0
205,Total:,961748,"+26,551",49165.0,"+1,973",203190.0,709393,36224.0,123.4,6.3
