,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
82,Burkina Faso,282,,16.0,,46.0,220,,13.0,0.8
83,Réunion,281,,,,40.0,241,3.0,314.0,
84,Jordan,278,,5.0,,36.0,237,5.0,27.0,0.5
85,Albania,259,,15.0,,67.0,177,7.0,90.0,5.0
86,Afghanistan,239,+2,4.0,,5.0,230,,6.0,0.1
87,San Marino,236,,28.0,,13.0,195,16.0,6955.0,825.0
88,Cameroon,233,,6.0,,10.0,217,,9.0,0.2
89,Oman,231,+21,1.0,,41.0,189,3.0,45.0,0.2
90,Vietnam,222,+4,,,64.0,158,3.0,2.0,
91,Honduras,219,+47,14.0,4.0,3.0,202,4.0,22.0,1.0
92,Cuba,212,,6.0,,12.0,194,3.0,19.0,0.5
93,Ghana,195,,5.0,,31.0,159,1.0,6.0,0.2
94,Uzbekistan,190,+9,2.0,,12.0,176,8.0,6.0,0.06
95,Ivory Coast,190,,1.0,,9.0,180,,7.0,0.04
96,Senegal,190,,1.0,,45.0,144,,11.0,0.06
97,Malta,188,,,,2.0,186,2.0,426.0,
98,Faeroe Islands,177,+4,,,81.0,96,1.0,3622.0,
99,Nigeria,174,,2.0,,9.0,163,,0.8,0.01
100,Channel Islands,172,,3.0,,,169,,989.0,17.0
101,Belarus,163,,2.0,,53.0,108,2.0,17.0,0.2
102,Mauritius,161,,7.0,1.0,,154,1.0,127.0,6.0
103,Sri Lanka,148,+2,3.0,,21.0,124,5.0,7.0,0.1
104,Venezuela,144,,3.0,,43.0,98,6.0,5.0,0.1
105,Montenegro,140,+17,2.0,,,138,4.0,223.0,3.0
106,Martinique,135,,3.0,,27.0,105,16.0,360.0,8.0
107,Palestine,134,,1.0,,18.0,115,,26.0,0.2
108,Brunei,131,,1.0,,52.0,78,3.0,299.0,2.0
109,Georgia,130,+13,,,23.0,107,6.0,33.0,
110,Guadeloupe,125,,6.0,,24.0,95,14.0,312.0,15.0
111,DRC,123,+14,11.0,2.0,3.0,109,,1.0,0.1
112,Bolivia,123,+8,7.0,,1.0,115,3.0,11.0,0.6
113,Kyrgyzstan,116,+5,,,5.0,111,5.0,18.0,
114,Cambodia,110,+1,,,34.0,76,1.0,7.0,
115,Mayotte,101,,1.0,,10.0,90,3.0,370.0,4.0
116,Trinidad and Tobago,90,,5.0,,1.0,84,,64.0,4.0
117,Rwanda,82,,,,,82,,6.0,
118,Kenya,81,,1.0,,3.0,77,2.0,2.0,0.02
119,Gibraltar,81,,,,34.0,47,,2404.0,
120,Paraguay,77,+8,3.0,,2.0,72,4.0,11.0,0.4
121,Niger,74,,5.0,,,69,,3.0,0.2
122,Liechtenstein,72,,,,,72,,1888.0,
123,Isle of Man,68,,1.0,,,67,,800.0,12.0
124,Madagascar,57,,,,,57,6.0,2.0,
125,Bangladesh,56,+2,6.0,,25.0,25,1.0,0.3,0.04
126,Monaco,55,,1.0,,2.0,52,2.0,1402.0,25.0
127,Aruba,55,,,,1.0,54,,515.0,
128,French Guiana,51,,,,15.0,36,,171.0,
129,Guatemala,46,+7,1.0,,12.0,33,1.0,3.0,0.06
130,Barbados,45,,,,,45,,157.0,
131,Jamaica,44,,3.0,,2.0,39,,15.0,1.0
132,Uganda,44,,,,,44,,1.0,
133,El Salvador,41,+8,2.0,,,39,4.0,6.0,0.3
134,Macao,41,,,,10.0,31,,63.0,
135,French Polynesia,37,,,,,37,1.0,132.0,
136,Togo,36,,2.0,,10.0,24,,4.0,0.2
137,Zambia,36,,,,,36,,2.0,
138,Djibouti,33,,,,,33,,33.0,
139,Bermuda,32,,,,10.0,22,,514.0,
140,Mali,31,,3.0,,,28,,2.0,0.1
141,Guinea,30,,,,,30,,2.0,
142,Ethiopia,29,,,,2.0,27,2.0,0.3,
143,Congo,22,,2.0,,,20,,4.0,0.4
144,Cayman Islands,22,,1.0,,,21,,335.0,15.0
145,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
146,Bahamas,21,,1.0,,1.0,19,,53.0,3.0
147,Tanzania,20,,1.0,,1.0,18,,0.3,0.02
148,Guyana,19,,4.0,1.0,,15,,24.0,5.0
149,Maldives,19,,,,13.0,6,,35.0,
150,Gabon,18,,1.0,,,17,,8.0,0.4
151,Eritrea,18,+3,,,,18,,5.0,
152,Myanmar,16,,1.0,,,15,,0.3,0.02
153,Sint Maarten,16,,1.0,,6.0,9,,373.0,23.0
154,Haiti,16,,,,1.0,15,,1.0,
155,New Caledonia,16,,,,1.0,15,,56.0,
156,Equatorial Guinea,15,,,,1.0,14,,11.0,
157,Mongolia,14,,,,2.0,12,,4.0,
158,Namibia,14,,,,2.0,12,,6.0,
159,Benin,13,,,,1.0,12,,1.0,
160,Saint Lucia,13,,,,1.0,12,,71.0,
161,Dominica,12,,,,,12,,167.0,
162,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
163,Syria,10,,2.0,,,8,,0.6,0.1
164,Greenland,10,,,,2.0,8,,176.0,
165,Grenada,10,+1,,,,10,,89.0,
166,Laos,10,,,,,10,,1.0,
167,Libya,10,,,,,10,,1.0,
168,Mozambique,10,,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102.0,
170,Suriname,10,,,,,10,,17.0,
171,MS Zaandam,9,,2.0,,,7,,,
172,Guinea-Bissau,9,,,,,9,,5.0,
173,Eswatini,9,,,,,9,,8.0,
174,Angola,8,,2.0,,1.0,5,,0.2,0.06
175,Zimbabwe,8,,1.0,,,7,,0.5,0.07
176,Saint Kitts and Nevis,8,,,,,8,,150.0,
177,Sudan,7,,2.0,,2.0,3,,0.2,0.05
178,Antigua and Barbuda,7,,,,,7,,71.0,
179,Chad,7,,,,,7,,0.4,
180,Fiji,7,+2,,,,7,,8.0,
181,Cabo Verde,6,,1.0,,,5,,11.0,2.0
182,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
183,Vatican City,6,,,,,6,,7491.0,
184,Liberia,6,,,,,6,,1.0,
185,St. Barth,6,,,,1.0,5,,607.0,
186,Turks and Caicos,6,,,,,6,,155.0,
187,Nicaragua,5,,1.0,,,4,,0.8,0.2
188,Nepal,5,,,,1.0,4,,0.2,
189,Bhutan,5,+1,,,1.0,4,,6.0,
190,Montserrat,5,,,,,5,,1002.0,
191,Somalia,5,,,,1.0,4,,0.3,
192,Botswana,4,,1.0,,,3,,2.0,0.4
193,Gambia,4,,1.0,,2.0,1,,2.0,0.4
194,Belize,3,,,,,3,,8.0,
195,British Virgin Islands,3,,,,,3,,99.0,
196,CAR,3,,,,,3,,0.6,
197,Anguilla,2,,,,,2,,133.0,
198,Burundi,2,,,,,2,,0.2,
199,Caribbean Netherlands,2,,,,,2,,76.0,
200,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
201,Sierra Leone,2,,,,,2,,0.3,
202,Papua New Guinea,1,,,,,1,,0.1,
203,Timor-Leste,1,,,,,1,,0.8,
204,China,81589,+35,3318.0,6.0,76408.0,1863,429.0,57.0,2.0
205,Total:,937976,"+2,779",47279.0,87.0,195359.0,695338,35735.0,120.3,6.1
