,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
70,Bulgaria,457,+35,10.0,,25.0,422,18.0,66.0,1.0
71,Tunisia,455,+32,14.0,+2,5.0,436,10.0,38.0,1.0
72,Kazakhstan,435,+55,3.0,,27.0,405,6.0,23.0,0.2
73,Andorra,428,+38,15.0,+1,10.0,403,12.0,5539.0,194.0
74,Slovakia,426,+26,1.0,,5.0,420,3.0,78.0,0.2
75,Azerbaijan,400,+41,5.0,,26.0,369,7.0,39.0,0.5
76,North Macedonia,384,+30,11.0,,17.0,356,4.0,184.0,5.0
77,Costa Rica,375,,2.0,,4.0,369,9.0,74.0,0.4
78,Cyprus,356,+36,10.0,+1,28.0,318,11.0,295.0,8.0
79,Uruguay,350,,4.0,+2,62.0,284,15.0,101.0,1.0
80,Kuwait,342,+25,,,81.0,261,15.0,80.0,
81,Taiwan,339,+10,5.0,,50.0,284,,14.0,0.2
82,Réunion,308,+27,,,40.0,268,3.0,344.0,
83,Belarus,304,+141,4.0,+2,53.0,247,11.0,32.0,0.4
84,Jordan,299,+21,5.0,,45.0,249,5.0,29.0,0.5
85,Burkina Faso,288,+6,16.0,,50.0,222,,14.0,0.8
86,Cameroon,284,+51,7.0,+1,10.0,267,,11.0,0.3
87,Albania,277,+18,16.0,+1,67.0,194,7.0,96.0,6.0
88,Afghanistan,258,+21,4.0,,10.0,244,,7.0,0.1
89,San Marino,236,,28.0,,13.0,195,16.0,6955.0,825.0
90,Cuba,233,+21,6.0,,13.0,214,7.0,21.0,0.5
91,Oman,231,+21,1.0,,57.0,173,3.0,45.0,0.2
92,Vietnam,227,+9,,,75.0,152,3.0,2.0,
93,Honduras,219,+47,14.0,+4,3.0,202,4.0,22.0,1.0
94,Ghana,204,+9,5.0,,31.0,168,2.0,7.0,0.2
95,Malta,196,+8,,,2.0,194,2.0,444.0,
96,Senegal,195,+5,1.0,,55.0,139,,12.0,0.06
97,Channel Islands,193,+21,3.0,,,190,,1110.0,17.0
98,Uzbekistan,190,+9,2.0,,25.0,163,8.0,6.0,0.06
99,Ivory Coast,190,,1.0,,9.0,180,,7.0,0.04
100,Faeroe Islands,177,+4,,,81.0,96,1.0,3622.0,
101,Nigeria,174,,2.0,,9.0,163,,0.8,0.01
102,Mauritius,169,+8,7.0,+1,,162,1.0,133.0,6.0
103,Palestine,160,+26,1.0,,18.0,141,,31.0,0.2
104,Sri Lanka,151,+5,4.0,+1,21.0,126,5.0,7.0,0.2
105,Venezuela,144,,3.0,,43.0,98,6.0,5.0,0.1
106,Montenegro,144,+21,2.0,,,142,4.0,229.0,3.0
107,Martinique,135,,3.0,,27.0,105,16.0,360.0,8.0
108,Brunei,133,+2,1.0,,56.0,76,3.0,304.0,2.0
109,Georgia,131,+14,,,26.0,105,6.0,33.0,
110,Guadeloupe,125,,6.0,,24.0,95,14.0,312.0,15.0
111,DRC,123,+14,11.0,+2,3.0,109,,1.0,0.1
112,Bolivia,123,+8,8.0,+1,1.0,114,3.0,11.0,0.7
113,Mayotte,116,+15,1.0,,10.0,105,3.0,425.0,4.0
114,Kyrgyzstan,116,+5,,,5.0,111,5.0,18.0,
115,Kenya,110,+29,3.0,+2,4.0,103,2.0,2.0,0.06
116,Cambodia,110,+1,,,34.0,76,1.0,7.0,
117,Isle of Man,95,+27,1.0,,,94,,1117.0,12.0
118,Trinidad and Tobago,90,,5.0,,1.0,84,,64.0,4.0
119,Gibraltar,88,+7,,,46.0,42,,2612.0,
120,Rwanda,82,,,,,82,,6.0,
121,Paraguay,77,+8,3.0,,2.0,72,4.0,11.0,0.4
122,Liechtenstein,75,+3,,,,75,,1967.0,
123,Niger,74,,5.0,,,69,,3.0,0.2
124,Monaco,60,+5,1.0,,2.0,57,2.0,1529.0,25.0
125,Aruba,60,+5,,,1.0,59,,562.0,
126,Madagascar,59,+2,,,,59,6.0,2.0,
127,Bangladesh,56,+2,6.0,,25.0,25,1.0,0.3,0.04
128,Guinea,52,+22,,,,52,,4.0,
129,French Guiana,51,,,,15.0,36,,171.0,
130,Guatemala,47,+8,1.0,,12.0,34,1.0,3.0,0.06
131,Barbados,45,,,,,45,,157.0,
132,Jamaica,44,,3.0,,2.0,39,,15.0,1.0
133,Uganda,44,,,,,44,,1.0,
134,El Salvador,41,+8,2.0,,,39,4.0,6.0,0.3
135,Macao,41,,,,10.0,31,,63.0,
136,Djibouti,40,+7,,,,40,,40.0,
137,Zambia,39,+3,1.0,+1,,38,,2.0,0.05
138,French Polynesia,37,,,,,37,1.0,132.0,
139,Mali,36,+5,3.0,,,33,,2.0,0.1
140,Togo,36,,2.0,,10.0,24,,4.0,0.2
141,Bermuda,32,,,,10.0,22,,514.0,
142,Ethiopia,29,,,,3.0,26,2.0,0.3,
143,Congo,22,,2.0,,2.0,18,,4.0,0.4
144,Cayman Islands,22,,1.0,,,21,,335.0,15.0
145,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
146,Eritrea,22,+7,,,,22,,6.0,
147,Bahamas,21,,1.0,,1.0,19,,53.0,3.0
148,Myanmar,20,+4,1.0,,,19,,0.4,0.02
149,Tanzania,20,,1.0,,2.0,17,,0.3,0.02
150,Guyana,19,,4.0,+1,,15,,24.0,5.0
151,Maldives,19,,,,13.0,6,,35.0,
152,Gabon,18,,1.0,,,17,,8.0,0.4
153,New Caledonia,18,+2,,,1.0,17,,63.0,
154,Syria,16,+6,2.0,,,14,,0.9,0.1
155,Sint Maarten,16,,1.0,,6.0,9,,373.0,23.0
156,Haiti,16,,,,1.0,15,,1.0,
157,Equatorial Guinea,15,,,,1.0,14,,11.0,
158,Mongolia,14,,,,2.0,12,,4.0,
159,Namibia,14,,,,2.0,12,,6.0,
160,Benin,13,,,,1.0,12,,1.0,
161,Saint Lucia,13,,,,1.0,12,,71.0,
162,Dominica,12,,,,,12,,167.0,
163,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
164,Greenland,10,,,,2.0,8,,176.0,
165,Grenada,10,+1,,,,10,,89.0,
166,Laos,10,,,,,10,,1.0,
167,Libya,10,,,,,10,,1.0,
168,Mozambique,10,,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102.0,
170,Suriname,10,,,,,10,,17.0,
171,MS Zaandam,9,,2.0,,,7,,,
172,Guinea-Bissau,9,,,,,9,,5.0,
173,Eswatini,9,,,,,9,,8.0,
174,Angola,8,,2.0,,1.0,5,,0.2,0.06
175,Sudan,8,+1,2.0,,2.0,4,,0.2,0.05
176,Zimbabwe,8,,1.0,,,7,,0.5,0.07
177,Saint Kitts and Nevis,8,,,,,8,,150.0,
178,Antigua and Barbuda,7,,,,,7,,71.0,
179,Chad,7,,,,,7,,0.4,
180,Fiji,7,+2,,,,7,,8.0,
181,Cabo Verde,6,,1.0,,,5,,11.0,2.0
182,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
183,Nepal,6,+1,,,1.0,5,,0.2,
184,Vatican City,6,,,,,6,,7491.0,
185,Liberia,6,,,,,6,,1.0,
186,St. Barth,6,,,,1.0,5,,607.0,
187,Turks and Caicos,6,,,,,6,,155.0,
188,Nicaragua,5,,1.0,,,4,,0.8,0.2
189,Bhutan,5,+1,,,1.0,4,,6.0,
190,Montserrat,5,,,,,5,,1002.0,
191,Somalia,5,,,,1.0,4,,0.3,
192,Botswana,4,,1.0,,,3,,2.0,0.4
193,Gambia,4,,1.0,,2.0,1,,2.0,0.4
194,Anguilla,3,+1,,,,3,,200.0,
195,Belize,3,,,,,3,,8.0,
196,British Virgin Islands,3,,,,,3,,99.0,
197,Burundi,3,+1,,,,3,,0.3,
198,CAR,3,,,,,3,,0.6,
199,Malawi,3,+3,,,,3,,0.2,
200,Caribbean Netherlands,2,,,,,2,,76.0,
201,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,China,81589,+35,3318.0,+6,76408.0,1863,429.0,57.0,2.0
206,Total:,997555,"+62,358",51451.0,"+4,259",208691.0,737413,37000.0,128.0,6.6
