,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
52,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
53,Qatar,693,,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
54,Hong Kong,683,,4.0,,118.0,561,5.0,91.0,0.5,Jan 22
55,Egypt,656,,41.0,,150.0,465,,6.0,0.4,Feb 13
56,New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27
57,Iraq,630,,46.0,,152.0,432,,16.0,1.0,Feb 21
58,UAE,611,,5.0,,61.0,545,2.0,62.0,0.5,Jan 28
59,Algeria,584,,35.0,,37.0,512,,13.0,0.8,Feb 24
60,Morocco,556,,33.0,,15.0,508,1.0,15.0,0.9,Mar 01
61,Ukraine,548,,13.0,,8.0,527,,13.0,0.3,Mar 02
62,Bahrain,515,,4.0,,295.0,216,2.0,303.0,2.0,Feb 23
63,Lithuania,491,,7.0,,7.0,477,5.0,180.0,3.0,Feb 27
64,Armenia,482,,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
65,Hungary,447,,15.0,,34.0,398,6.0,46.0,2.0,Mar 03
66,Lebanon,446,,11.0,,35.0,400,3.0,65.0,2.0,Feb 20
67,Latvia,376,,,,1.0,375,3.0,199.0,,Mar 01
68,Andorra,370,,8.0,,10.0,352,10.0,4789.0,104.0,Mar 01
69,Bosnia and Herzegovina,368,,10.0,,17.0,341,1.0,112.0,3.0,Mar 04
70,Tunisia,362,,9.0,,3.0,350,10.0,31.0,0.8,Mar 01
71,Bulgaria,359,,8.0,,17.0,334,13.0,52.0,1.0,Mar 06
72,Slovakia,336,,,,7.0,329,1.0,62.0,,Mar 05
73,Costa Rica,330,,2.0,,4.0,324,7.0,65.0,0.4,Mar 04
74,Uruguay,320,,1.0,,25.0,294,9.0,92.0,0.3,Mar 12
75,Kazakhstan,308,+6,1.0,,21.0,286,,16.0,0.05,Mar 12
76,Taiwan,306,,5.0,,39.0,262,,13.0,0.2,Jan 20
77,Moldova,298,,2.0,,15.0,281,44.0,74.0,0.5,Mar 06
78,North Macedonia,285,,7.0,,12.0,266,1.0,137.0,3.0,Feb 25
79,Azerbaijan,273,,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
80,Jordan,268,,5.0,,26.0,237,3.0,26.0,0.5,Mar 01
81,Kuwait,266,,,,72.0,194,13.0,62.0,,Feb 23
82,Burkina Faso,246,,12.0,,31.0,203,,12.0,0.6,Mar 08
83,San Marino,230,,25.0,,13.0,192,16.0,6778.0,737.0,Feb 26
84,Cyprus,230,,7.0,,22.0,201,3.0,190.0,6.0,Mar 08
85,Réunion,224,,,,1.0,223,,250.0,,Mar 10
86,Albania,223,,11.0,,44.0,168,7.0,77.0,4.0,Mar 07
87,Vietnam,204,,,,55.0,149,3.0,2.0,,Jan 22
88,Oman,179,,,,29.0,150,3.0,35.0,,Feb 23
89,Afghanistan,170,,4.0,,2.0,164,,4.0,0.1,Feb 23
90,Cuba,170,,4.0,,4.0,162,2.0,15.0,0.4,Mar 10
91,Ivory Coast,168,,1.0,,6.0,161,,6.0,0.04,Mar 10
92,Faeroe Islands,168,,,,70.0,98,1.0,3438.0,,Mar 03
93,Senegal,162,,,,27.0,135,,10.0,,Mar 01
94,Malta,156,,,,2.0,154,4.0,353.0,,Mar 06
95,Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
96,Belarus,152,,,,32.0,120,2.0,16.0,,Feb 27
97,Uzbekistan,150,+1,2.0,,7.0,141,8.0,4.0,0.06,Mar 14
98,Honduras,141,+2,7.0,,3.0,131,4.0,14.0,0.7,Mar 10
99,Channel Islands,141,,2.0,,,139,,811.0,12.0,Mar 08
100,Cameroon,139,,6.0,,5.0,128,,5.0,0.2,Mar 05
101,Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12
102,Nigeria,131,,2.0,,8.0,121,,0.6,0.01,Feb 27
103,Mauritius,128,,3.0,,,125,1.0,101.0,2.0,Mar 17
104,Brunei,127,,1.0,,38.0,88,3.0,290.0,2.0,Mar 08
105,Sri Lanka,122,,2.0,,15.0,105,5.0,6.0,0.09,Jan 26
106,Palestine,117,,1.0,,18.0,98,,23.0,0.2,Mar 04
107,Cambodia,107,,,,21.0,86,1.0,6.0,,Jan 26
108,Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
109,Georgia,103,,,,20.0,83,6.0,26.0,,Feb 25
110,Bolivia,97,,4.0,,,93,3.0,8.0,0.3,Mar 09
111,Kyrgyzstan,94,,,,3.0,91,,14.0,,Mar 17
112,Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
113,Montenegro,91,,1.0,,,90,1.0,145.0,2.0,Mar 16
114,Trinidad and Tobago,85,+2,3.0,,1.0,81,,61.0,2.0,Mar 11
115,Mayotte,82,,,,10.0,72,3.0,301.0,,Mar 13
116,DRC,81,,8.0,,2.0,71,,0.9,0.09,Mar 09
117,Rwanda,70,,,,,70,,5.0,,Mar 13
118,Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02
119,Paraguay,65,+1,3.0,,1.0,61,3.0,9.0,0.4,Mar 06
120,Liechtenstein,62,,,,,62,,1626.0,,Mar 02
121,Kenya,50,,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
122,Aruba,50,,,,1.0,49,,468.0,,Mar 12
123,Bangladesh,49,,5.0,,19.0,25,1.0,0.3,0.03,Mar 07
124,Monaco,49,,1.0,,1.0,47,,1249.0,25.0,Feb 27
125,Isle of Man,49,,,,,49,,576.0,,Mar 18
126,French Guiana,43,,,,6.0,37,,144.0,,Mar 06
127,Madagascar,43,,,,,43,,2.0,,Mar 19
128,Macao,38,,,,10.0,28,,59.0,,Jan 21
129,Guatemala,36,,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
130,Jamaica,36,,1.0,,2.0,33,,12.0,0.3,Mar 09
131,French Polynesia,36,,,,,36,2.0,128.0,,Mar 10
132,Zambia,35,,,,,35,,2.0,,Mar 17
133,Barbados,34,+1,,,,34,,118.0,,Mar 16
134,Uganda,33,,,,,33,,0.7,,Mar 20
135,El Salvador,32,+2,,,,32,5.0,5.0,,Mar 18
136,Togo,30,,1.0,,1.0,28,,4.0,0.1,Mar 05
137,Niger,27,,3.0,,,24,,1.0,0.1,Mar 18
138,Bermuda,27,,,,2.0,25,,434.0,,Mar 17
139,Mali,25,,2.0,,,23,,1.0,0.1,Mar 24
140,Ethiopia,23,,,,4.0,19,1.0,0.2,,Mar 12
141,Guinea,22,,,,,22,,2.0,,Mar 12
142,Congo,19,,,,,19,,3.0,,Mar 14
143,Tanzania,19,,,,1.0,18,,0.3,,Mar 15
144,Djibouti,18,,,,,18,,18.0,,Mar 17
145,Maldives,17,,,,13.0,4,,31.0,,Mar 06
146,Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
147,Eritrea,15,,,,,15,,4.0,,Mar 20
148,Haiti,15,,,,1.0,14,,1.0,,Mar 19
149,New Caledonia,15,,,,,15,,53.0,,Mar 17
150,Bahamas,14,,,,1.0,13,,36.0,,Mar 14
151,Myanmar,14,,,,,14,,0.3,,Mar 22
152,Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
153,Dominica,12,,,,,12,,167.0,,Mar 21
154,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
155,Mongolia,12,,,,2.0,10,,4.0,,Mar 09
156,Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12
157,Namibia,11,,,,2.0,9,,4.0,,Mar 13
158,Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
159,Greenland,10,,,,2.0,8,,176.0,,Mar 15
160,Grenada,9,,,,,9,,80.0,,Mar 21
161,Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
162,Eswatini,9,,,,,9,,8.0,,Mar 13
163,Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
164,Guinea-Bissau,8,,,,,8,,4.0,,Mar 24
165,Laos,8,,,,,8,,1.0,,Mar 23
166,Libya,8,,,,,8,,1.0,,Mar 23
167,Mozambique,8,,,,,8,,0.3,,Mar 21
168,Seychelles,8,,,,,8,,81.0,,Mar 13
169,Suriname,8,,,,,8,,14.0,,Mar 12
170,Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19
171,Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
172,Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19
173,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
174,Saint Kitts and Nevis,7,,,,,7,,132.0,,Mar 24
175,Sudan,6,,2.0,,,4,,0.1,0.05,Mar 12
176,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
177,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
178,Benin,6,,,,,6,,0.5,,Mar 15
179,Vatican City,6,,,,,6,,7491.0,,Mar 05
180,St. Barth,6,,,,1.0,5,,607.0,,Feb 29
181,Sint Maarten,6,,,,,6,,140.0,,Mar 17
182,Nepal,5,,,,1.0,4,,0.2,,Jan 23
183,Chad,5,,,,,5,,0.3,,Mar 18
184,Fiji,5,,,,,5,,6.0,,Mar 18
185,Montserrat,5,,,,,5,,1002.0,,Mar 17
186,Turks and Caicos,5,,,,,5,,129.0,,Mar 22
187,Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
188,Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
189,Bhutan,4,,,,,4,,5.0,,Mar 05
190,Belize,3,,,,,3,,8.0,,Mar 22
191,Botswana,3,,,,,3,,1.0,,Mar 29
192,British Virgin Islands,3,+1,,,,3,,99.0,,Mar 24
193,CAR,3,,,,,3,,0.6,,Mar 14
194,Liberia,3,,,,,3,,0.6,,Mar 15
195,Somalia,3,,,,1.0,2,,0.2,,Mar 15
196,MS Zaandam,2,,,,,2,,,,Mar 26
197,Anguilla,2,,,,,2,,133.0,,Mar 25
198,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
199,St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
200,Timor-Leste,1,,,,,1,,0.8,,Mar 20
201,China,81518,+79,3305.0,5.0,76052.0,2161,528.0,57.0,2.0,Jan 10
202,Total:,785777,"+1,062",37815.0,32.0,165607.0,582355,29488.0,100.8,4.9,
