,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
94,Venezuela,113,,2.0,,31.0,80,2.0,4.0,0.07,Mar 12
95,Afghanistan,110,,4.0,,2.0,104,,3.0,0.1,Feb 23
96,Sri Lanka,110,+4,,,9.0,101,5.0,5.0,,Jan 26
97,Uzbekistan,104,+16,2.0,1.0,5.0,97,8.0,3.0,0.06,Mar 14
98,Ivory Coast,101,,,,3.0,98,,4.0,,Mar 10
99,Cambodia,99,,,,13.0,86,1.0,6.0,,Jan 26
100,Palestine,97,+6,1.0,,18.0,78,,19.0,0.2,Mar 04
101,Honduras,95,+27,1.0,,3.0,91,4.0,10.0,0.1,Mar 10
102,Mauritius,94,,2.0,,,92,1.0,74.0,2.0,Mar 17
103,Belarus,94,,,,32.0,62,2.0,10.0,,Feb 27
104,Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
105,Cameroon,91,,2.0,,2.0,87,,3.0,0.08,Mar 05
106,Channel Islands,88,,1.0,,,87,,506.0,6.0,Mar 08
107,Georgia,85,+2,,,14.0,71,1.0,21.0,,Feb 25
108,Montenegro,82,,1.0,,,81,1.0,131.0,2.0,Mar 16
109,Nigeria,81,+11,1.0,,3.0,77,,0.4,0.0,Feb 27
110,Cuba,80,,2.0,,4.0,74,2.0,7.0,0.2,Mar 10
111,Bolivia,74,+13,,,,74,,6.0,,Mar 09
112,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0,Mar 12
113,Trinidad and Tobago,66,,2.0,,1.0,63,,47.0,1.0,Mar 11
114,DRC,58,+7,6.0,3.0,2.0,50,,0.6,0.07,Mar 09
115,Kyrgyzstan,58,,,,,58,,9.0,,Mar 17
116,Paraguay,56,+4,3.0,,1.0,52,1.0,8.0,0.4,Mar 06
117,Liechtenstein,56,,,,,56,,1469.0,,Mar 02
118,Gibraltar,55,,,,14.0,41,,1632.0,,Mar 02
119,Rwanda,54,,,,,54,,4.0,,Mar 13
120,Mayotte,50,,,,,50,,183.0,,Mar 13
121,Bangladesh,48,,5.0,,15.0,28,1.0,0.3,0.03,Mar 07
122,Monaco,42,,,,1.0,41,,1070.0,,Feb 27
123,Macao,34,,,,10.0,24,,52.0,,Jan 21
124,Aruba,33,,,,1.0,32,,309.0,,Mar 12
125,Guatemala,32,+4,1.0,,4.0,27,1.0,2.0,0.06,Mar 12
126,Isle of Man,32,+3,,,,32,,376.0,,Mar 18
127,Kenya,31,,1.0,,1.0,29,2.0,0.6,0.02,Mar 12
128,Jamaica,30,+4,1.0,,2.0,27,,10.0,0.3,Mar 09
129,French Polynesia,30,,,,,30,,107.0,,Mar 10
130,French Guiana,28,,,,6.0,22,,94.0,,Mar 06
131,Barbados,26,,,,,26,,90.0,,Mar 16
132,Madagascar,26,,,,,26,,0.9,,Mar 19
133,Togo,25,,1.0,,1.0,23,,3.0,0.1,Mar 05
134,Uganda,23,,,,,23,,0.5,,Mar 20
135,Zambia,22,,,,,22,,1.0,,Mar 17
136,El Salvador,19,+6,,,,19,,3.0,,Mar 18
137,Bermuda,17,,,,2.0,15,,273.0,,Mar 17
138,Ethiopia,16,,,,,16,,0.1,,Mar 12
139,Maldives,16,,,,9.0,7,,30.0,,Mar 06
140,New Caledonia,15,,,,,15,,53.0,,Mar 17
141,Tanzania,13,,,,1.0,12,,0.2,,Mar 15
142,Djibouti,12,,,,,12,,12.0,,Mar 17
143,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
144,Mongolia,12,+1,,,,12,,4.0,,Mar 09
145,Dominica,11,,,,,11,,153.0,,Mar 21
146,Mali,11,,,,,11,,0.5,,Mar 24
147,Saint Martin,11,,,,,11,,284.0,,Feb 29
148,Niger,10,,1.0,,,9,,0.4,0.04,Mar 18
149,Bahamas,10,,,,1.0,9,,25.0,,Mar 14
150,Greenland,10,,,,2.0,8,,176.0,,Mar 15
151,Eswatini,9,,,,,9,,8.0,,Mar 13
152,Cayman Islands,8,,1.0,,,7,,122.0,15.0,Mar 12
153,Curaçao,8,,1.0,,2.0,5,,49.0,6.0,Mar 12
154,Guinea,8,,,,,8,,0.6,,Mar 12
155,Haiti,8,,,,,8,,0.7,,Mar 19
156,Myanmar,8,,,,,8,,0.1,,Mar 22
157,Namibia,8,,,,2.0,6,,3.0,,Mar 13
158,Suriname,8,,,,,8,,14.0,,Mar 12
159,Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
160,Zimbabwe,7,+2,1.0,,,6,,0.5,0.07,Mar 19
161,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
162,Grenada,7,,,,,7,,62.0,,Mar 21
163,Mozambique,7,,,,,7,,0.2,,Mar 21
164,Seychelles,7,,,,,7,,71.0,,Mar 13
165,Benin,6,,,,,6,,0.5,,Mar 15
166,Eritrea,6,,,,,6,,2.0,,Mar 20
167,Laos,6,,,,,6,,0.8,,Mar 23
168,Cabo Verde,5,,1.0,,,4,,9.0,2.0,Mar 19
169,Guyana,5,,1.0,,,4,,6.0,1.0,Mar 11
170,Sudan,5,+2,1.0,,,4,,0.1,0.02,Mar 12
171,Nepal,5,+1,,,1.0,4,,0.2,,Jan 23
172,Fiji,5,,,,,5,,6.0,,Mar 18
173,Mauritania,5,+2,,,,5,,1.0,,Mar 12
174,Montserrat,5,,,,,5,,1002.0,,Mar 17
175,St. Barth,5,,,,,5,,506.0,,Feb 29
176,Syria,5,,,,,5,,0.3,,Mar 21
177,Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
178,Angola,4,,,,,4,,0.1,,Mar 19
179,Congo,4,,,,,4,,0.7,,Mar 14
180,Vatican City,4,,,,,4,,4994.0,,Mar 05
181,Gambia,3,,1.0,,,2,,1.0,0.4,Mar 16
182,Bhutan,3,,,,,3,,4.0,,Mar 05
183,CAR,3,,,,,3,,0.6,,Mar 14
184,Chad,3,,,,,3,,0.2,,Mar 18
185,Liberia,3,,,,,3,,0.6,,Mar 15
186,Saint Lucia,3,,,,1.0,2,,16.0,,Mar 12
187,Sint Maarten,3,,,,,3,,70.0,,Mar 17
188,Somalia,3,,,,,3,,0.2,,Mar 15
189,MS Zaandam,2,,,,,2,,,,Mar 26
190,Anguilla,2,,,,,2,,133.0,,Mar 25
191,Belize,2,,,,,2,,5.0,,Mar 22
192,British Virgin Islands,2,,,,,2,,66.0,,Mar 24
193,Guinea-Bissau,2,,,,,2,,1.0,,Mar 24
194,Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24
195,Turks and Caicos,2,,,,,2,,52.0,,Mar 22
196,Libya,1,,,,,1,,0.1,,Mar 23
197,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
198,St. Vincent Grenadines,1,,,,,1,,9.0,,Mar 10
199,Timor-Leste,1,,,,,1,,0.8,,Mar 20
200,China,81394,+54,3295.0,3.0,74971.0,3128,886.0,57.0,2.0,Jan 10
201,Total:,614052,"+17,740",28234.0,893.0,137271.0,448547,23997.0,78.8,3.6,
