,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
58,51,Kazakhstan,"11,308",+450,41 ,+1,"5,458","5,809",62,603,2,"828,377","44,162","18,757,562 ",Asia
59,52,Nigeria,"10,162",,287 ,,"3,007","6,868",7,49,1,"60,825",296,"205,668,183 ",Africa
60,53,Bolivia,"9,982",+390,313 ,+3,968,"8,701",3,856,27,"28,239","2,422","11,659,305 ",South America
61,54,Armenia,"9,492",+210,139 ,+8,"3,402","5,951",10,"3,204",47,"58,668","19,802","2,962,800 ",Asia
62,55,Algeria,"9,394",,653 ,,"5,748","2,993",23,215,15,,,"43,780,936 ",Africa
63,56,Czechia,"9,273",+5,320 ,,"6,562","2,391",15,866,30,"442,866","41,361","10,707,393 ",Europe
64,57,Norway,"8,442",+2,236 ,,"7,727",479,8,"1,558",44,"245,352","45,287","5,417,721 ",Europe
65,58,Moldova,"8,251",,298 ,+3,"4,622","3,331",251,"2,045",74,"40,565","10,054","4,034,692 ",Europe
66,59,Ghana,"8,070",+189,36 ,,"2,947","5,087",3,260,1,"218,425","7,043","31,014,508 ",Africa
67,60,Malaysia,"7,857",+38,115 ,,"6,404","1,338",8,243,4,"560,738","17,344","32,330,462 ",Asia
68,61,Morocco,"7,819",+12,205 ,,"5,754","1,860",18,212,6,"216,185","5,863","36,873,293 ",Africa
69,62,Australia,"7,204",+9,103 ,,"6,619",482,3,283,4,"1,472,220","57,791","25,474,721 ",Australia/Oceania
70,63,Finland,"6,885",+26,318 ,,"5,500","1,067",9,"1,243",57,"185,484","33,481","5,540,033 ",Europe
71,64,Iraq,"6,439",,205 ,,"3,156","3,078",36,160,5,"211,485","5,269","40,140,397 ",Asia
72,65,Cameroon,"6,143",+239,197 ,+6,"3,578","2,368",28,232,7,,,"26,484,855 ",Africa
73,66,Azerbaijan,"5,494",,63 ,,"3,428","2,003",42,542,6,"294,264","29,044","10,131,531 ",Asia
74,67,Honduras,"5,202",+108,212 ,+11,537,"4,453",13,526,21,"14,790","1,495","9,890,844 ",North America
75,68,Guatemala,"5,087",+348,108 ,+6,735,"4,244",5,284,6,"31,427","1,757","17,886,146 ",North America
76,69,Sudan,"5,026",,286 ,,"1,423","3,317",,115,7,401,9,"43,755,620 ",Africa
77,70,Luxembourg,"4,018",,110 ,,"3,833",75,3,"6,428",176,"75,432","120,675","625,086 ",Europe
78,71,Tajikistan,"4,013",+83,47 ,,"2,089","1,877",,422,5,,,"9,518,158 ",Asia
79,72,Hungary,"3,892",+16,527 ,+1,"2,156","1,209",25,403,55,"187,965","19,454","9,662,256 ",Europe
80,73,Senegal,"3,739",+94,42 ,,"1,858","1,839",14,224,3,"43,129","2,582","16,702,826 ",Africa
81,74,Guinea,"3,706",,23 ,,"2,030","1,653",24,283,2,"14,407","1,100","13,099,458 ",Africa
82,75,Uzbekistan,"3,673",+50,15 ,,"2,859",799,9,110,0.4,"460,000","13,761","33,427,196 ",Asia
83,76,Djibouti,"3,569",+215,24 ,,"1,521","2,024",,"3,617",24,"28,260","28,639","986,755 ",Africa
84,77,DRC,"3,195",+125,72 ,,454,"2,669",,36,0.8,,,"89,301,493 ",Africa
85,78,Thailand,"3,082",+1,57 ,,"2,965",60,1,44,0.8,"420,529","6,026","69,785,922 ",Asia
86,79,Greece,"2,917",,175 ,,"1,374","1,368",13,280,17,"180,518","17,313","10,426,947 ",Europe
87,80,Ivory Coast,"2,833",,33 ,,"1,435","1,365",,108,1,"27,039","1,027","26,318,014 ",Africa
88,81,Gabon,"2,655",,17 ,,722,"1,916",15,"1,195",8,"14,122","6,359","2,220,923 ",Africa
89,82,El Salvador,"2,582",+65,46 ,,"1,063","1,473",53,398,7,"91,837","14,165","6,483,535 ",North America
90,83,Bosnia and Herzegovina,"2,524",+14,154 ,+1,"1,888",482,4,769,47,"65,900","20,077","3,282,366 ",Europe
91,84,Bulgaria,"2,519",+6,140 ,,"1,090","1,289",17,362,20,"81,694","11,751","6,952,375 ",Europe
92,85,North Macedonia,"2,315",+89,140 ,+7,"1,569",606,21,"1,111",67,"30,302","14,545","2,083,381 ",Europe
93,86,Croatia,"2,246",,103 ,,"2,077",66,4,547,25,"66,695","16,239","4,107,186 ",Europe
94,87,Haiti,"2,124",+259,44 ,+3,24,"2,056",,186,4,"5,244",460,"11,390,662 ",North America
95,88,Cuba,"2,045",,83 ,,"1,809",153,4,181,7,"105,274","9,294","11,327,160 ",North America
96,89,Somalia,"1,976",,78 ,,348,"1,550",2,125,5,,,"15,851,530 ",Africa
97,90,Kenya,"1,962",,64 ,,478,"1,420",7,37,1,"78,536","1,463","53,663,836 ",Africa
98,91,Estonia,"1,870",+1,68 ,,"1,625",177,,"1,410",51,"84,156","63,444","1,326,464 ",Europe
99,92,Kyrgyzstan,"1,817",+69,16 ,,"1,181",620,4,279,2,"111,859","17,170","6,514,756 ",Asia
100,93,Nepal,"1,811",+239,8 ,,221,"1,582",,62,0.3,"185,660","6,382","29,090,429 ",Asia
101,94,Iceland,"1,806",,10 ,,"1,794",2,,"5,295",29,"61,122","179,211","341,061 ",Europe
102,95,Maldives,"1,773",,6 ,+1,453,"1,314",9,"3,285",11,"11,775","21,818","539,703 ",Asia
103,96,Mayotte,"1,699",,21 ,,"1,385",293,9,"6,242",77,"5,200","19,103","272,210 ",Africa
104,97,Lithuania,"1,678",+3,70 ,,"1,236",372,17,616,26,"304,854","111,872","2,725,022 ",Europe
105,98,Sri Lanka,"1,639",+6,11  ,+1,811,817,1,77,0.5,"65,355","3,053","21,405,965 ",Asia
106,99,Slovakia,"1,522",+1,28 ,,"1,368",126,,279,5,"172,875","31,665","5,459,433 ",Europe
107,100,Venezuela,"1,510",,14 ,,302,"1,194",3,53,0.5,"975,825","34,309","28,442,184 ",South America
108,101,New Zealand,"1,504",,22 ,,"1,481",1,,301,4,"281,609","56,298","5,002,100 ",Australia/Oceania
109,102,Slovenia,"1,473",,109 ,+1,"1,358",6,1,709,52,"80,407","38,677","2,078,915 ",Europe
110,103,Equatorial Guinea,"1,306",,12 ,,200,"1,094",,934,9,"8,268","5,912","1,398,520 ",Africa
111,104,Mali,"1,265",,77 ,,716,472,,63,4,"3,483",172,"20,195,689 ",Africa
112,105,Ethiopia,"1,257",+85,12 ,+1,217,"1,028",4,11,0.1,"112,377",980,"114,700,869 ",Africa
113,106,Guinea-Bissau,"1,256",,8 ,,42,"1,206",,640,4,"1,500",764,"1,963,739 ",Africa
114,107,Lebanon,"1,233",+13,27 ,,715,491,3,181,4,"84,176","12,328","6,827,788 ",Asia
115,108,Albania,"1,143",+6,33 ,,877,233,3,397,11,"14,825","5,151","2,878,043 ",Europe
116,109,Zambia,"1,089",+32,7 ,,912,170,1,59,0.4,"28,236","1,540","18,335,514 ",Africa
117,110,Hong Kong,"1,088",+3,4 ,,"1,037",47,2,145,0.5,"202,930","27,087","7,491,921 ",Asia
118,111,Tunisia,"1,084",+7,48 ,,964,72,2,92,4,"52,503","4,446","11,808,177 ",Africa
119,112,Latvia,"1,066",,24 ,,745,297,3,565,13,"109,723","58,124","1,887,728 ",Europe
120,113,Costa Rica,"1,056",,10 ,,669,377,4,207,2,"26,622","5,230","5,090,223 ",North America
121,114,CAR,"1,011",,2 ,,23,986,,210,0.4,"15,021","3,115","4,822,363 ",Africa
122,115,South Sudan,994,,10 ,,6,978,,89,0.9,"3,356",300,"11,182,555 ",Africa
123,116,Paraguay,986,,11 ,,477,498,2,138,2,"30,004","4,211","7,125,055 ",South America
124,117,Niger,958,,64 ,,839,55,,40,3,"6,047",251,"24,120,048 ",Africa
125,118,Cyprus,944,,17 ,,790,137,4,782,14,"117,411","97,305","1,206,632 ",Asia
126,119,Sierra Leone,865,+4,46 ,,475,344,,109,6,,,"7,962,417 ",Africa
127,120,Burkina Faso,847,,53 ,,720,74,,41,3,,,"20,849,535 ",Africa
128,121,Madagascar,826,+55,6 ,,174,646,8,30,0.2,"10,249",371,"27,624,966 ",Africa
129,122,Uruguay,823,,22 ,,685,116,5,237,6,"43,911","12,644","3,472,758 ",South America
130,123,Georgia,794,+11,12 ,,624,158,6,199,3,"56,987","14,283","3,989,764 ",Asia
131,124,Chad,778,,65 ,,491,222,,47,4,,,"16,381,333 ",Africa
132,125,Andorra,764,,51 ,,694,19,4,"9,889",660,"3,750","48,541","77,255 ",Europe
133,126,Nicaragua,759,,35 ,,370,354,,115,5,,,"6,617,838 ",North America
134,127,Jordan,739,,9 ,,522,208,5,72,0.9,"187,990","18,440","10,194,610 ",Asia
135,128,Diamond Princess,712,,13 ,,651,48,4,,,,,0 ,
136,129,San Marino,671,,42 ,,359,270,1,"19,779","1,238","4,485","132,203","33,925 ",Europe
137,130,Malta,619,+1,9 ,,537,73,1,"1,402",20,"69,622","157,712","441,449 ",Europe
138,131,Congo,611,,20 ,,179,412,,111,4,,,"5,505,568 ",Africa
139,132,Jamaica,586,+5,9 ,,311,266,2,198,3,"12,702","4,291","2,960,117 ",North America
140,133,Channel Islands,560,,45 ,,515,0,,"3,223",259,"10,255","59,029","173,729 ",Europe
141,134,Mauritania,530,,23 ,,27,480,,114,5,"7,654","1,650","4,638,278 ",Africa
142,135,Tanzania,509,,21 ,,183,305,7,9,0.4,,,"59,573,674 ",Africa
143,136,French Guiana,499,,1 ,,200,298,2,"1,675",3,,,"297,963 ",South America
144,137,Sao Tome and Principe,483,,12 ,,68,403,,"2,208",55,175,800,"218,798 ",Africa
145,138,Réunion,471,,1 ,,411,59,1,526,1,"17,200","19,223","894,784 ",Africa
146,139,Uganda,457,+40, ,,72,385,,10,,"96,825","2,123","45,602,136 ",Africa
147,140,Palestine,449,+1,3 ,,372,74,,88,0.6,"44,876","8,816","5,090,574 ",Asia
148,141,Taiwan,443,+1,7 ,,427,9,,19,0.3,"72,319","3,037","23,813,331 ",Asia
149,142,Togo,442,,13 ,,211,218,,54,2,"20,079","2,431","8,260,968 ",Africa
150,143,Cabo Verde,435,,4 ,,193,238,,783,7,"1,307","2,353","555,476 ",Africa
151,144,Rwanda,370,,1 ,,256,113,,29,0.08,"66,976","5,183","12,922,594 ",Africa
152,145,Isle of Man,336,,24 ,,311,1,,"3,953",282,"4,892","57,556","84,996 ",Europe
153,146,Mauritius,335,,10 ,,322,3,,263,8,"116,937","91,961","1,271,600 ",Africa
154,147,Vietnam,328,, ,,293,35,1,3,,"275,000","2,827","97,265,308 ",Asia
155,148,Montenegro,324,,9 ,,315,0,,516,14,"10,167","16,188","628,060 ",Europe
156,149,Yemen,323,,80 ,,14,229,,11,3,120,4,"29,766,367 ",Asia
157,150,Liberia,288,,27 ,,157,104,,57,5,,,"5,046,798 ",Africa
158,151,Eswatini,285,,2 ,,189,94,,246,2,"4,994","4,308","1,159,150 ",Africa
159,152,Malawi,284,,4 ,,42,238,1,15,0.2,"5,049",265,"19,084,049 ",Africa
160,153,Mozambique,254,,2 ,,91,161,,8,0.06,"10,878",349,"31,173,041 ",Africa
161,154,Benin,232,,3 ,,143,86,,19,0.2,"30,817","2,548","12,093,650 ",Africa
162,155,Myanmar,228,+4,6 ,,138,84,,4,0.1,"24,710",454,"54,379,727 ",Asia
163,156,Martinique,200,,14 ,,98,88,,533,37,,,"375,288 ",North America
164,157,Faeroe Islands,187,, ,,187,0,,"3,828",,"9,677","198,104","48,848 ",Europe
165,158,Mongolia,185,+6, ,,44,141,19,57,,"14,037","4,288","3,273,672 ",Asia
166,159,Zimbabwe,178,,4 ,,29,145,,12,0.3,"46,613","3,140","14,844,179 ",Africa
167,160,Gibraltar,170,, ,,151,19,,"5,046",,"7,644","226,879","33,692 ",Europe
168,161,Guadeloupe,162,,14 ,,138,10,1,405,35,"4,137","10,339","400,119 ",North America
169,162,Libya,156,,5 ,,52,99,,23,0.7,"5,591",815,"6,863,245 ",Africa
170,163,Guyana,153,,12 ,,70,71,2,195,15,"1,618","2,058","786,243 ",South America
171,164,Brunei ,141,,2 ,,138,1,1,323,5,"19,516","44,646","437,127 ",Asia
172,165,Cayman Islands,141,,1 ,,68,72,,"2,148",15,"11,139","169,657","65,656 ",North America
173,166,Bermuda,140,,9 ,,92,39,2,"2,247",144,"7,171","115,112","62,296 ",North America
174,167,Cambodia,125,, ,,123,2,1,7,,"20,895","1,251","16,699,008 ",Asia
175,168,Syria,123,+1,5 ,,46,72,,7,0.3,,,"17,461,550 ",Asia
176,169,Trinidad and Tobago,117,,8 ,,108,1,,84,6,"3,138","2,243","1,399,123 ",North America
177,170,Comoros,106,,2 ,,26,78,,122,2,,,"867,928 ",Africa
178,171,Bahamas,102,,11 ,,48,43,1,260,28,"2,091","5,322","392,929 ",North America
179,172,Aruba,101,,3 ,,98,0,,946,28,"2,134","19,995","106,729 ",North America
180,173,Monaco,99,,4 ,,90,5,1,"2,524",102,"16,200","413,065","39,219 ",Europe
181,174,Barbados,92,,7 ,,76,9,1,320,24,"5,434","18,911","287,347 ",North America
182,175,Angola,86,,4 ,,18,64,1,3,0.1,"10,000",305,"32,768,267 ",Africa
183,176,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,610","38,119 ",Europe
184,177,Sint Maarten,77,,15 ,,60,2,1,"1,798",350,461,"10,762","42,835 ",North America
185,178,Burundi,63,,1 ,,33,29,,5,0.08,284,24,"11,857,105 ",Africa
186,179,French Polynesia,60,, ,,60,0,,214,,"4,040","14,389","280,775 ",Australia/Oceania
187,180,Macao,45,, ,,45,0,,69,,,,"648,573 ",Asia
188,181,Bhutan,43,, ,,6,37,,56,,"17,344","22,499","770,888 ",Asia
189,182,Saint Martin,41,,3 ,,33,5,1,"1,062",78,614,"15,903","38,608 ",North America
190,183,Eritrea,39,, ,,39,0,,11,,,,"3,542,188 ",Africa
191,184,Botswana,38,+3,1 ,,20,17,,16,0.4,"21,716","9,251","2,347,367 ",Africa
192,185,Antigua and Barbuda,26,,3 ,,19,4,1,266,31,183,"1,870","97,861 ",North America
193,186,St. Vincent Grenadines,26,, ,,15,11,,234,,593,"5,347","110,912 ",North America
194,187,Gambia,25,,1 ,,20,4,,10,0.4,"1,756",729,"2,410,277 ",Africa
195,188,Namibia,25,+1, ,,16,9,,10,,"3,970","1,565","2,536,830 ",Africa
196,189,Timor-Leste,24,, ,,24,0,,18,,"1,290",980,"1,316,208 ",Asia
197,190,Suriname,23,,1 ,,9,13,,39,2,782,"1,334","586,192 ",South America
198,191,Grenada,23,, ,,18,5,2,204,,"3,516","31,259","112,481 ",North America
199,192,New Caledonia,20,+1, ,,18,2,,70,,"6,681","23,420","285,267 ",Australia/Oceania
200,193,Curaçao,19,,1 ,,14,4,,116,6,572,"3,487","164,039 ",North America
201,194,Laos,19,, ,,16,3,,3,,"7,180",988,"7,266,416 ",Asia
202,195,Belize,18,,2 ,,16,0,,45,5,"1,572","3,960","396,989 ",North America
203,196,Fiji,18,, ,,15,3,,20,,"2,431","2,713","895,908 ",Australia/Oceania
204,197,Saint Lucia,18,, ,,18,0,,98,,"1,012","5,513","183,559 ",North America
205,198,Dominica,16,, ,,16,0,,222,,433,"6,016","71,972 ",North America
206,199,Saint Kitts and Nevis,15,, ,,15,0,,282,,396,"7,448","53,168 ",North America
207,200,Falkland Islands,13,, ,,13,0,,"3,746",,503,"144,957","3,470 ",South America
208,201,Greenland,13,, ,,11,2,,229,,"2,141","37,719","56,762 ",North America
209,202,Turks and Caicos,12,,1 ,,11,0,,310,26,153,"3,956","38,672 ",North America
210,203,Vatican City,12,, ,,2,10,,"14,981",,,,801 ,Europe
211,204,Montserrat,11,,1 ,,10,0,,"2,204",200,61,"12,220","4,992 ",North America
212,205,Seychelles,11,, ,,11,0,,112,,,,"98,297 ",Africa
213,206,MS Zaandam,9,,2 ,,,7,,,,,,0 ,
214,207,Western Sahara,9,,1 ,,6,2,,15,2,,,"595,986 ",Africa
215,208,British Virgin Islands,8,,1 ,,7,0,,265,33,167,"5,527","30,214 ",North America
216,209,Papua New Guinea,8,, ,,8,0,,0.9,,"4,646",520,"8,931,936 ",Australia/Oceania
217,210,Caribbean Netherlands,7,, ,,7,0,,267,,424,"16,181","26,203 ",North America
218,211,St. Barth,6,, ,,6,0,,608,,137,"13,873","9,875 ",North America
219,212,Anguilla,3,, ,,3,0,,200,,41,"2,735","14,992 ",North America
220,213,Lesotho,2,, ,,1,1,,0.9,,283,132,"2,140,838 ",Africa
221,214,Saint Pierre Miquelon,1,, ,,1,0,,173,,,,"5,796 ",North America
222,215,China,"83,017",+16,"4,634 ",,"78,307",76,3,58,3,,,"1,439,323,776 ",Asia
223,,Total:,"2,072,323","+5,895","124,945",+217,"739,684","1,207,694","19,374",,,,,,North America
224,,Total:,"878,477",+533,"40,113",+32,"352,870","485,494","11,321",,,,,,South America
225,,Total:,"2,031,355","+11,574","173,975",+251,"992,914","864,466","8,802",,,,,,Europe
226,,Total:,"1,155,853","+19,056","31,031",+254,"707,015","417,807","13,647",,,,,,Asia
227,,Total:,"151,550","+2,775","4,274",+29,"64,128","83,148",344,,,,,,Africa
228,,Total:,"8,814",+10,125,,"8,201",488,3,,,,,,Australia/Oceania
229,,Total:,721,,15,,651,55,4,,,,,,
230,,Total:,"6,299,093","+39,843","374,478",+783,"2,865,463","3,059,152","53,495",808.1,48.0,,,,All
