,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
61,Morocco,735,+27,47.0,+3,34.0,654,1.0,20.0,1.0
62,Diamond Princess,712,,11.0,,619.0,82,10.0,,
63,Lithuania,696,+47,9.0,,7.0,680,11.0,256.0,3.0
64,Bahrain,643,,4.0,,381.0,258,3.0,378.0,2.0
65,Hungary,623,+38,26.0,+5,43.0,554,17.0,64.0,3.0
66,Bosnia and Herzegovina,543,+10,16.0,,27.0,500,4.0,166.0,5.0
67,Lebanon,508,+14,17.0,+1,46.0,445,2.0,74.0,2.0
68,Moldova,505,,6.0,,23.0,476,65.0,125.0,1.0
69,Latvia,493,+35,1.0,+1,31.0,461,3.0,261.0,0.5
70,Bulgaria,477,+20,12.0,+2,30.0,435,18.0,69.0,2.0
71,Tunisia,455,,14.0,,5.0,436,10.0,38.0,1.0
72,Kazakhstan,453,+18,3.0,,29.0,421,6.0,24.0,0.2
73,Slovakia,450,+24,1.0,,5.0,444,3.0,82.0,0.2
74,Azerbaijan,443,+43,5.0,,32.0,406,7.0,44.0,0.5
75,Andorra,428,,15.0,,10.0,403,12.0,5539.0,194.0
76,Kuwait,417,+75,,,82.0,335,16.0,98.0,
77,Costa Rica,396,,2.0,,6.0,388,11.0,78.0,0.4
78,North Macedonia,384,,11.0,,17.0,356,8.0,184.0,5.0
79,Uruguay,369,+19,4.0,,68.0,297,13.0,106.0,1.0
80,Cyprus,356,,10.0,,28.0,318,11.0,295.0,8.0
81,Taiwan,348,+9,5.0,,50.0,293,,15.0,0.2
82,Réunion,308,,,,40.0,268,3.0,344.0,
83,Cameroon,306,,7.0,,10.0,289,,12.0,0.3
84,Albania,304,+27,16.0,,89.0,199,7.0,106.0,6.0
85,Belarus,304,,4.0,,53.0,247,11.0,32.0,0.4
86,Jordan,299,,5.0,,45.0,249,5.0,29.0,0.5
87,Burkina Faso,288,,16.0,,50.0,222,,14.0,0.8
88,Afghanistan,273,,6.0,,10.0,257,,7.0,0.2
89,Oman,252,+21,1.0,,57.0,194,3.0,49.0,0.2
90,San Marino,245,,30.0,,21.0,194,15.0,7221.0,884.0
91,Cuba,233,,6.0,,13.0,214,7.0,21.0,0.5
92,Vietnam,233,,,,85.0,148,3.0,2.0,
93,Honduras,222,+3,15.0,+1,3.0,204,10.0,22.0,2.0
94,Uzbekistan,221,+16,2.0,,25.0,194,8.0,7.0,0.06
95,Ghana,204,,5.0,,31.0,168,2.0,7.0,0.2
96,Malta,196,,,,2.0,194,2.0,444.0,
97,Senegal,195,,1.0,,55.0,139,,12.0,0.06
98,Ivory Coast,194,,1.0,,15.0,178,,7.0,0.04
99,Channel Islands,193,,3.0,,,190,,1110.0,17.0
100,Nigeria,184,,2.0,,20.0,162,,0.9,0.01
101,Faeroe Islands,179,+2,,,91.0,88,1.0,3663.0,
102,Palestine,171,+10,1.0,,18.0,152,,34.0,0.2
103,Mauritius,169,,7.0,,,162,1.0,133.0,6.0
104,Montenegro,160,+16,2.0,,,158,4.0,255.0,3.0
105,Sri Lanka,151,,4.0,,22.0,125,5.0,7.0,0.2
106,Georgia,148,+14,,,27.0,121,6.0,37.0,
107,Venezuela,146,,5.0,,43.0,98,6.0,5.0,0.2
108,Martinique,138,,3.0,,27.0,108,19.0,368.0,8.0
109,DRC,134,,13.0,,3.0,118,,1.0,0.1
110,Brunei,133,,1.0,,56.0,76,3.0,304.0,2.0
111,Bolivia,132,+9,9.0,+1,1.0,122,3.0,11.0,0.8
112,Kyrgyzstan,130,+14,1.0,+1,5.0,124,5.0,20.0,0.2
113,Guadeloupe,128,,6.0,,24.0,98,14.0,320.0,15.0
114,Mayotte,116,,1.0,,10.0,105,3.0,425.0,4.0
115,Isle of Man,114,+19,1.0,,,113,,1341.0,12.0
116,Cambodia,114,+4,,,35.0,79,1.0,7.0,
117,Kenya,110,,3.0,,4.0,103,2.0,2.0,0.06
118,Niger,98,,5.0,,,93,,4.0,0.2
119,Trinidad and Tobago,97,+3,6.0,+1,1.0,90,,69.0,4.0
120,Paraguay,92,+15,3.0,,4.0,85,4.0,13.0,0.4
121,Gibraltar,88,,,,46.0,42,,2612.0,
122,Rwanda,84,,,,,84,,6.0,
123,Liechtenstein,75,,,,,75,,1967.0,
124,Bangladesh,61,+5,6.0,,26.0,29,1.0,0.4,0.04
125,Monaco,60,,1.0,,2.0,57,2.0,1529.0,25.0
126,Aruba,60,,,,1.0,59,,562.0,
127,Madagascar,59,,,,,59,6.0,2.0,
128,Guinea,52,,,,,52,,4.0,
129,French Guiana,51,,,,15.0,36,,171.0,
130,Jamaica,47,,3.0,,2.0,42,,16.0,1.0
131,Guatemala,47,,1.0,,12.0,34,1.0,3.0,0.06
132,El Salvador,46,+5,2.0,,,44,4.0,7.0,0.3
133,Barbados,46,,,,,46,,160.0,
134,Uganda,45,,,,,45,,1.0,
135,Macao,41,,,,10.0,31,,63.0,
136,Djibouti,40,,,,,40,,40.0,
137,Togo,39,,2.0,,17.0,20,,5.0,0.2
138,Zambia,39,,1.0,,,38,,2.0,0.05
139,French Polynesia,37,,,,,37,1.0,132.0,
140,Mali,36,,3.0,,,33,,2.0,0.1
141,Bermuda,35,,,,11.0,24,,562.0,
142,Ethiopia,35,+6,,,3.0,32,2.0,0.3,
143,Cayman Islands,28,,1.0,,,27,,426.0,15.0
144,Bahamas,24,,1.0,,1.0,22,1.0,61.0,3.0
145,Congo,22,,2.0,,2.0,18,,4.0,0.4
146,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
147,Eritrea,22,,,,,22,,6.0,
148,Gabon,21,,1.0,,1.0,19,,9.0,0.4
149,Myanmar,20,,1.0,,,19,,0.4,0.02
150,Tanzania,20,,1.0,,2.0,17,,0.3,0.02
151,Guyana,19,,4.0,,,15,,24.0,5.0
152,Maldives,19,,,,13.0,6,,35.0,
153,Sint Maarten,18,,1.0,,6.0,11,,420.0,23.0
154,Haiti,18,+2,,,1.0,17,,2.0,
155,New Caledonia,18,,,,1.0,17,,63.0,
156,Syria,16,,2.0,,,14,,0.9,0.1
157,Equatorial Guinea,15,,,,1.0,14,,11.0,
158,Mongolia,14,,,,2.0,12,,4.0,
159,Namibia,14,,,,3.0,11,,6.0,
160,Benin,13,,,,1.0,12,,1.0,
161,Saint Lucia,13,,,,1.0,12,,71.0,
162,Dominica,12,,,,,12,,167.0,
163,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
164,Libya,11,,1.0,,,10,,2.0,0.1
165,Greenland,10,,,,3.0,7,,176.0,
166,Grenada,10,,,,,10,,89.0,
167,Laos,10,,,,,10,,1.0,
168,Mozambique,10,,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102.0,
170,Suriname,10,,,,,10,,17.0,
171,MS Zaandam,9,,2.0,,,7,,,
172,Zimbabwe,9,,1.0,,,8,,0.6,0.07
173,Antigua and Barbuda,9,,,,,9,,92.0,
174,Guinea-Bissau,9,,,,,9,,5.0,
175,Saint Kitts and Nevis,9,,,,,9,,169.0,
176,Eswatini,9,,,,,9,,8.0,
177,Angola,8,,2.0,,1.0,5,,0.2,0.06
178,Sudan,8,,2.0,,2.0,4,,0.2,0.05
179,CAR,8,+5,,,,8,,2.0,
180,Chad,8,,,,,8,,0.5,
181,Nepal,7,+1,,,1.0,6,,0.2,
182,Fiji,7,,,,,7,,8.0,
183,Vatican City,7,,,,,7,,8739.0,
184,Cabo Verde,6,,1.0,,,5,,11.0,2.0
185,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
186,Liberia,6,,,,,6,,1.0,
187,St. Barth,6,,,,1.0,5,,607.0,
188,Nicaragua,5,,1.0,,,4,,0.8,0.2
189,Bhutan,5,,,,2.0,3,,6.0,
190,Montserrat,5,,,,,5,,1002.0,
191,Somalia,5,,,,1.0,4,,0.3,
192,Turks and Caicos,5,,,,,5,,129.0,
193,Botswana,4,,1.0,,,3,,2.0,0.4
194,Gambia,4,,1.0,,2.0,1,,2.0,0.4
195,Anguilla,3,,,,,3,,200.0,
196,Belize,3,,,,,3,,8.0,
197,British Virgin Islands,3,,,,,3,,99.0,
198,Burundi,3,,,,,3,,0.3,
199,Malawi,3,,,,,3,,0.2,
200,Caribbean Netherlands,2,,,,,2,,76.0,
201,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,China,81620,+31,3322.0,+4,76571.0,1727,379.0,57.0,2.0
206,Total:,1029467,"+14,402",54180.0,"+1,013",218586.0,756701,38075.0,132.1,7.0
