,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
103,Palestine,171,+10,1.0,,21.0,149,,34.0,0.2
104,Montenegro,160,+16,2.0,,,158,4.0,255.0,3.0
105,Sri Lanka,152,+1,4.0,,24.0,124,5.0,7.0,0.2
106,Georgia,148,+14,,,27.0,121,6.0,37.0,
107,Venezuela,146,,5.0,,43.0,98,6.0,5.0,0.2
108,Martinique,138,,3.0,,27.0,108,19.0,368.0,8.0
109,DRC,134,,13.0,,3.0,118,,1.0,0.1
110,Brunei,134,+1,1.0,,65.0,68,3.0,306.0,2.0
111,Bolivia,132,+9,9.0,+1,1.0,122,3.0,11.0,0.8
112,Kyrgyzstan,130,+14,1.0,+1,5.0,124,5.0,20.0,0.2
113,Guadeloupe,128,,6.0,,24.0,98,14.0,320.0,15.0
114,Kenya,122,+12,4.0,+1,4.0,114,2.0,2.0,0.07
115,Mayotte,116,,1.0,,10.0,105,3.0,425.0,4.0
116,Isle of Man,114,+19,1.0,,,113,,1341.0,12.0
117,Cambodia,114,+4,,,35.0,79,1.0,7.0,
118,Niger,98,,5.0,,,93,,4.0,0.2
119,Trinidad and Tobago,97,+3,6.0,+1,1.0,90,,69.0,4.0
120,Gibraltar,95,+7,,,46.0,49,,2820.0,
121,Paraguay,92,+15,3.0,,4.0,85,4.0,13.0,0.4
122,Rwanda,84,,,,,84,,6.0,
123,Liechtenstein,75,,,,,75,,1967.0,
124,Madagascar,65,+6,,,,65,6.0,2.0,
125,Bangladesh,61,+5,6.0,,26.0,29,1.0,0.4,0.04
126,Monaco,60,,1.0,,2.0,57,2.0,1529.0,25.0
127,Aruba,60,,,,1.0,59,,562.0,
128,Guinea,52,,,,,52,,4.0,
129,French Guiana,51,,,,15.0,36,,171.0,
130,Djibouti,49,+9,,,8.0,41,,50.0,
131,Jamaica,47,,3.0,,2.0,42,,16.0,1.0
132,Guatemala,47,,1.0,,12.0,34,1.0,3.0,0.06
133,El Salvador,46,+5,2.0,,,44,4.0,7.0,0.3
134,Barbados,46,,,,,46,,160.0,
135,Uganda,45,,,,,45,,1.0,
136,Macao,42,+1,,,10.0,32,,65.0,
137,Togo,40,+1,3.0,+1,17.0,20,,5.0,0.4
138,Zambia,39,,1.0,,2.0,36,,2.0,0.05
139,French Polynesia,37,,,,,37,1.0,132.0,
140,Mali,36,,3.0,,,33,,2.0,0.1
141,Bermuda,35,,,,11.0,24,,562.0,
142,Ethiopia,35,+6,,,3.0,32,2.0,0.3,
143,Cayman Islands,28,,1.0,,,27,,426.0,15.0
144,Bahamas,24,,1.0,,1.0,22,1.0,61.0,3.0
145,Sint Maarten,23,+5,2.0,+1,6.0,15,,536.0,47.0
146,Congo,22,,2.0,,2.0,18,,4.0,0.4
147,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
148,Eritrea,22,,,,,22,,6.0,
149,Gabon,21,,1.0,,1.0,19,,9.0,0.4
150,Myanmar,20,,1.0,,,19,,0.4,0.02
151,Tanzania,20,,1.0,,3.0,16,,0.3,0.02
152,Guyana,19,,4.0,,,15,,24.0,5.0
153,Maldives,19,,,,13.0,6,,35.0,
154,Haiti,18,+2,,,1.0,17,,2.0,
155,New Caledonia,18,,,,1.0,17,,63.0,
156,Syria,16,,2.0,,,14,,0.9,0.1
157,Equatorial Guinea,15,,,,1.0,14,,11.0,
158,Mongolia,14,,,,2.0,12,,4.0,
159,Namibia,14,,,,3.0,11,,6.0,
160,Benin,13,,,,1.0,12,,1.0,
161,Saint Lucia,13,,,,1.0,12,,71.0,
162,Dominica,12,,,,,12,,167.0,
163,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
164,Libya,11,,1.0,,,10,,2.0,0.1
165,Sudan,10,+2,2.0,,2.0,6,,0.2,0.05
166,Greenland,10,,,,3.0,7,,176.0,
167,Grenada,10,,,,,10,,89.0,
168,Laos,10,,,,,10,,1.0,
169,Mozambique,10,,,,,10,,0.3,
170,Seychelles,10,,,,,10,,102.0,
171,Suriname,10,,,,,10,,17.0,
172,MS Zaandam,9,,2.0,,,7,,,
173,Zimbabwe,9,,1.0,,,8,,0.6,0.07
174,Antigua and Barbuda,9,,,,,9,,92.0,
175,Guinea-Bissau,9,,,,,9,,5.0,
176,Saint Kitts and Nevis,9,,,,,9,,169.0,
177,Eswatini,9,,,,,9,,8.0,
178,Angola,8,,2.0,,1.0,5,,0.2,0.06
179,CAR,8,+5,,,,8,,2.0,
180,Chad,8,,,,,8,,0.5,
181,Fiji,7,,,,,7,,8.0,
182,Vatican City,7,,,,,7,,8739.0,
183,Liberia,7,+1,,,,7,,1.0,
184,Cabo Verde,6,,1.0,,,5,,11.0,2.0
185,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
186,Nepal,6,,,,1.0,5,,0.2,
187,St. Barth,6,,,,1.0,5,,607.0,
188,Nicaragua,5,,1.0,,,4,,0.8,0.2
189,Bhutan,5,,,,2.0,3,,6.0,
190,Montserrat,5,,,,,5,,1002.0,
191,Somalia,5,,,,1.0,4,,0.3,
192,Turks and Caicos,5,,,,,5,,129.0,
193,Botswana,4,,1.0,,,3,,2.0,0.4
194,Gambia,4,,1.0,,2.0,1,,2.0,0.4
195,Belize,4,+1,,,,4,,10.0,
196,Anguilla,3,,,,,3,,200.0,
197,British Virgin Islands,3,,,,,3,,99.0,
198,Burundi,3,,,,,3,,0.3,
199,Malawi,3,,,,,3,,0.2,
200,St. Vincent Grenadines,3,+1,,,1.0,2,,27.0,
201,Caribbean Netherlands,2,,,,,2,,76.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,China,81620,+31,3322.0,+4,76571.0,1727,379.0,57.0,2.0
206,Total:,1055853,"+40,788",55740.0,"+2,573",223891.0,776222,38780.0,135.5,7.2
